epoch: 1, train loss: 1.541, valid acc: 0.477, test acc: 0.470, time cost: 253.6 sec 
epoch: 2, train loss: 1.043, valid acc: 0.569, test acc: 0.569, time cost: 253.1 sec 
epoch: 3, train loss: 0.821, valid acc: 0.621, test acc: 0.622, time cost: 254.7 sec 
epoch: 4, train loss: 0.702, valid acc: 0.664, test acc: 0.664, time cost: 252.9 sec 
epoch: 5, train loss: 0.614, valid acc: 0.658, test acc: 0.661, time cost: 252.9 sec 
epoch: 6, train loss: 0.547, valid acc: 0.685, test acc: 0.686, time cost: 253.5 sec 
epoch: 7, train loss: 0.494, valid acc: 0.695, test acc: 0.698, time cost: 254.2 sec 
epoch: 8, train loss: 0.464, valid acc: 0.698, test acc: 0.699, time cost: 253.4 sec 
epoch: 9, train loss: 0.440, valid acc: 0.674, test acc: 0.676, time cost: 253.3 sec 
epoch: 10, train loss: 0.417, valid acc: 0.700, test acc: 0.702, time cost: 254.7 sec 
epoch: 11, train loss: 0.403, valid acc: 0.700, test acc: 0.706, time cost: 253.3 sec 
epoch: 12, train loss: 0.383, valid acc: 0.709, test acc: 0.711, time cost: 253.4 sec 
epoch: 13, train loss: 0.378, valid acc: 0.707, test acc: 0.708, time cost: 254.6 sec 
epoch: 14, train loss: 0.359, valid acc: 0.698, test acc: 0.701, time cost: 253.2 sec 
epoch: 15, train loss: 0.355, valid acc: 0.700, test acc: 0.707, time cost: 253.1 sec 
epoch: 16, train loss: 0.346, valid acc: 0.711, test acc: 0.715, time cost: 253.7 sec 
epoch: 17, train loss: 0.338, valid acc: 0.721, test acc: 0.725, time cost: 253.7 sec 
epoch: 18, train loss: 0.333, valid acc: 0.713, test acc: 0.712, time cost: 253.3 sec 
epoch: 19, train loss: 0.329, valid acc: 0.715, test acc: 0.714, time cost: 254.8 sec 
epoch: 20, train loss: 0.322, valid acc: 0.692, test acc: 0.690, time cost: 253.3 sec 
epoch: 21, train loss: 0.322, valid acc: 0.699, test acc: 0.700, time cost: 253.2 sec 
epoch: 22, train loss: 0.314, valid acc: 0.706, test acc: 0.708, time cost: 254.6 sec 
epoch: 23, train loss: 0.301, valid acc: 0.730, test acc: 0.729, time cost: 253.4 sec 
epoch: 24, train loss: 0.296, valid acc: 0.709, test acc: 0.706, time cost: 253.5 sec 
epoch: 25, train loss: 0.297, valid acc: 0.730, test acc: 0.727, time cost: 254.9 sec 
epoch: 26, train loss: 0.295, valid acc: 0.714, test acc: 0.715, time cost: 253.8 sec 
epoch: 27, train loss: 0.294, valid acc: 0.721, test acc: 0.722, time cost: 253.4 sec 
epoch: 28, train loss: 0.288, valid acc: 0.728, test acc: 0.731, time cost: 253.3 sec 
epoch: 29, train loss: 0.288, valid acc: 0.700, test acc: 0.701, time cost: 255.1 sec 
epoch: 30, train loss: 0.285, valid acc: 0.719, test acc: 0.723, time cost: 253.7 sec 
epoch: 31, train loss: 0.198, valid acc: 0.739, test acc: 0.744, time cost: 253.3 sec 
epoch: 32, train loss: 0.171, valid acc: 0.740, test acc: 0.743, time cost: 253.4 sec 
epoch: 33, train loss: 0.160, valid acc: 0.739, test acc: 0.744, time cost: 255.0 sec 
epoch: 34, train loss: 0.156, valid acc: 0.730, test acc: 0.734, time cost: 253.2 sec 
epoch: 35, train loss: 0.150, valid acc: 0.739, test acc: 0.742, time cost: 253.0 sec 
epoch: 36, train loss: 0.146, valid acc: 0.738, test acc: 0.744, time cost: 253.1 sec 
epoch: 37, train loss: 0.143, valid acc: 0.736, test acc: 0.744, time cost: 254.8 sec 
epoch: 38, train loss: 0.140, valid acc: 0.733, test acc: 0.739, time cost: 253.1 sec 
epoch: 39, train loss: 0.139, valid acc: 0.733, test acc: 0.739, time cost: 253.0 sec 
epoch: 40, train loss: 0.138, valid acc: 0.737, test acc: 0.739, time cost: 254.9 sec 
epoch: 41, train loss: 0.140, valid acc: 0.739, test acc: 0.743, time cost: 253.1 sec 
epoch: 42, train loss: 0.135, valid acc: 0.739, test acc: 0.744, time cost: 253.0 sec 
epoch: 43, train loss: 0.133, valid acc: 0.737, test acc: 0.742, time cost: 255.1 sec 
epoch: 44, train loss: 0.134, valid acc: 0.736, test acc: 0.739, time cost: 253.4 sec 
epoch: 45, train loss: 0.129, valid acc: 0.737, test acc: 0.739, time cost: 253.3 sec 
epoch: 46, train loss: 0.129, valid acc: 0.736, test acc: 0.741, time cost: 255.5 sec 
epoch: 47, train loss: 0.129, valid acc: 0.735, test acc: 0.741, time cost: 253.8 sec 
epoch: 48, train loss: 0.126, valid acc: 0.732, test acc: 0.735, time cost: 254.5 sec 
epoch: 49, train loss: 0.129, valid acc: 0.739, test acc: 0.739, time cost: 254.3 sec 
epoch: 50, train loss: 0.123, valid acc: 0.737, test acc: 0.738, time cost: 253.8 sec 
epoch: 51, train loss: 0.122, valid acc: 0.735, test acc: 0.740, time cost: 253.8 sec 
epoch: 52, train loss: 0.112, valid acc: 0.738, test acc: 0.741, time cost: 255.1 sec 
epoch: 53, train loss: 0.110, valid acc: 0.736, test acc: 0.740, time cost: 253.7 sec 
epoch: 54, train loss: 0.111, valid acc: 0.736, test acc: 0.741, time cost: 253.2 sec 
epoch: 55, train loss: 0.109, valid acc: 0.740, test acc: 0.742, time cost: 255.2 sec 
epoch: 56, train loss: 0.110, valid acc: 0.737, test acc: 0.743, time cost: 253.6 sec 
epoch: 57, train loss: 0.107, valid acc: 0.738, test acc: 0.742, time cost: 253.8 sec 
epoch: 58, train loss: 0.106, valid acc: 0.735, test acc: 0.739, time cost: 253.6 sec 
epoch: 59, train loss: 0.102, valid acc: 0.737, test acc: 0.741, time cost: 255.4 sec 
epoch: 60, train loss: 0.106, valid acc: 0.735, test acc: 0.738, time cost: 253.5 sec 
epoch: 61, train loss: 0.107, valid acc: 0.738, test acc: 0.742, time cost: 253.7 sec 
epoch: 62, train loss: 0.107, valid acc: 0.737, test acc: 0.743, time cost: 255.2 sec 
epoch: 63, train loss: 0.105, valid acc: 0.734, test acc: 0.739, time cost: 253.5 sec 
