epoch: 1, train loss: 1.890, valid acc: 0.386, test acc: 0.389, time cost: 380.7 sec 
epoch: 2, train loss: 1.645, valid acc: 0.467, test acc: 0.478, time cost: 384.6 sec 
epoch: 3, train loss: 1.559, valid acc: 0.526, test acc: 0.531, time cost: 384.9 sec 
epoch: 4, train loss: 1.515, valid acc: 0.573, test acc: 0.574, time cost: 384.6 sec 
epoch: 5, train loss: 1.484, valid acc: 0.573, test acc: 0.576, time cost: 385.4 sec 
epoch: 6, train loss: 1.459, valid acc: 0.579, test acc: 0.584, time cost: 384.6 sec 
epoch: 7, train loss: 1.440, valid acc: 0.587, test acc: 0.582, time cost: 384.8 sec 
epoch: 8, train loss: 1.425, valid acc: 0.602, test acc: 0.605, time cost: 384.2 sec 
epoch: 9, train loss: 1.415, valid acc: 0.586, test acc: 0.594, time cost: 384.6 sec 
epoch: 10, train loss: 1.399, valid acc: 0.618, test acc: 0.619, time cost: 384.5 sec 
epoch: 11, train loss: 1.392, valid acc: 0.609, test acc: 0.613, time cost: 384.7 sec 
epoch: 12, train loss: 1.384, valid acc: 0.596, test acc: 0.606, time cost: 384.3 sec 
epoch: 13, train loss: 1.377, valid acc: 0.620, test acc: 0.618, time cost: 382.1 sec 
epoch: 14, train loss: 1.364, valid acc: 0.615, test acc: 0.619, time cost: 380.7 sec 
epoch: 15, train loss: 1.359, valid acc: 0.607, test acc: 0.612, time cost: 383.8 sec 
epoch: 16, train loss: 1.353, valid acc: 0.626, test acc: 0.626, time cost: 346.6 sec 
epoch: 17, train loss: 1.350, valid acc: 0.629, test acc: 0.632, time cost: 255.1 sec 
epoch: 18, train loss: 1.343, valid acc: 0.615, test acc: 0.612, time cost: 302.2 sec 
epoch: 19, train loss: 1.334, valid acc: 0.622, test acc: 0.633, time cost: 300.7 sec 
epoch: 20, train loss: 1.329, valid acc: 0.606, test acc: 0.611, time cost: 298.3 sec 
epoch: 21, train loss: 1.326, valid acc: 0.647, test acc: 0.647, time cost: 302.6 sec 
epoch: 22, train loss: 1.316, valid acc: 0.617, test acc: 0.629, time cost: 301.1 sec 
epoch: 23, train loss: 1.313, valid acc: 0.646, test acc: 0.653, time cost: 292.3 sec 
epoch: 24, train loss: 1.308, valid acc: 0.613, test acc: 0.617, time cost: 298.0 sec 
epoch: 25, train loss: 1.302, valid acc: 0.630, test acc: 0.636, time cost: 302.7 sec 
epoch: 26, train loss: 1.295, valid acc: 0.614, test acc: 0.611, time cost: 301.9 sec 
epoch: 27, train loss: 1.294, valid acc: 0.612, test acc: 0.611, time cost: 301.1 sec 
epoch: 28, train loss: 1.285, valid acc: 0.623, test acc: 0.624, time cost: 302.7 sec 
epoch: 29, train loss: 1.279, valid acc: 0.606, test acc: 0.607, time cost: 301.2 sec 
epoch: 30, train loss: 1.275, valid acc: 0.616, test acc: 0.624, time cost: 300.9 sec 
epoch: 31, train loss: 1.178, valid acc: 0.638, test acc: 0.649, time cost: 302.5 sec 
epoch: 32, train loss: 1.140, valid acc: 0.628, test acc: 0.637, time cost: 301.7 sec 
epoch: 33, train loss: 1.117, valid acc: 0.626, test acc: 0.635, time cost: 301.3 sec 
