epoch: 1, train loss: 1.530, valid acc: 0.568, test acc: 0.562, time cost: 208.6 sec 
epoch: 2, train loss: 1.226, valid acc: 0.653, test acc: 0.656, time cost: 208.3 sec 
epoch: 3, train loss: 1.130, valid acc: 0.686, test acc: 0.684, time cost: 208.0 sec 
epoch: 4, train loss: 1.090, valid acc: 0.706, test acc: 0.708, time cost: 208.6 sec 
epoch: 5, train loss: 1.067, valid acc: 0.706, test acc: 0.708, time cost: 209.0 sec 
epoch: 6, train loss: 1.049, valid acc: 0.713, test acc: 0.714, time cost: 208.1 sec 
epoch: 7, train loss: 1.040, valid acc: 0.718, test acc: 0.722, time cost: 208.2 sec 
epoch: 8, train loss: 1.029, valid acc: 0.727, test acc: 0.730, time cost: 208.4 sec 
epoch: 9, train loss: 1.020, valid acc: 0.737, test acc: 0.740, time cost: 216.0 sec 
epoch: 10, train loss: 1.016, valid acc: 0.730, test acc: 0.734, time cost: 217.4 sec 
epoch: 11, train loss: 1.011, valid acc: 0.739, test acc: 0.742, time cost: 216.6 sec 
epoch: 12, train loss: 1.008, valid acc: 0.730, test acc: 0.733, time cost: 217.6 sec 
epoch: 13, train loss: 1.006, valid acc: 0.747, test acc: 0.746, time cost: 216.7 sec 
epoch: 14, train loss: 1.001, valid acc: 0.742, test acc: 0.748, time cost: 209.6 sec 
epoch: 15, train loss: 0.998, valid acc: 0.735, test acc: 0.742, time cost: 209.3 sec 
epoch: 16, train loss: 0.996, valid acc: 0.738, test acc: 0.744, time cost: 208.7 sec 
epoch: 17, train loss: 0.992, valid acc: 0.739, test acc: 0.743, time cost: 208.8 sec 
epoch: 18, train loss: 0.991, valid acc: 0.749, test acc: 0.751, time cost: 207.8 sec 
epoch: 19, train loss: 0.988, valid acc: 0.738, test acc: 0.742, time cost: 208.4 sec 
epoch: 20, train loss: 0.988, valid acc: 0.741, test acc: 0.747, time cost: 208.2 sec 
epoch: 21, train loss: 0.986, valid acc: 0.747, test acc: 0.747, time cost: 207.7 sec 
epoch: 22, train loss: 0.985, valid acc: 0.744, test acc: 0.746, time cost: 208.0 sec 
epoch: 23, train loss: 0.983, valid acc: 0.742, test acc: 0.746, time cost: 208.7 sec 
epoch: 24, train loss: 0.984, valid acc: 0.746, test acc: 0.746, time cost: 214.9 sec 
epoch: 25, train loss: 0.981, valid acc: 0.748, test acc: 0.750, time cost: 238.6 sec 
epoch: 26, train loss: 0.980, valid acc: 0.745, test acc: 0.751, time cost: 240.9 sec 
epoch: 27, train loss: 0.979, valid acc: 0.753, test acc: 0.757, time cost: 238.7 sec 
epoch: 28, train loss: 0.979, valid acc: 0.750, test acc: 0.750, time cost: 240.5 sec 
epoch: 29, train loss: 0.980, valid acc: 0.745, test acc: 0.744, time cost: 238.9 sec 
