epoch: 1, train loss: 1.369, valid acc: 0.490, test acc: 0.493, time cost: 205.0 sec 
epoch: 2, train loss: 0.931, valid acc: 0.550, test acc: 0.549, time cost: 204.8 sec 
epoch: 3, train loss: 0.769, valid acc: 0.570, test acc: 0.581, time cost: 204.8 sec 
epoch: 4, train loss: 0.681, valid acc: 0.583, test acc: 0.589, time cost: 204.9 sec 
epoch: 5, train loss: 0.613, valid acc: 0.607, test acc: 0.608, time cost: 204.8 sec 
epoch: 6, train loss: 0.583, valid acc: 0.606, test acc: 0.606, time cost: 204.9 sec 
epoch: 7, train loss: 0.554, valid acc: 0.606, test acc: 0.612, time cost: 204.7 sec 
epoch: 8, train loss: 0.516, valid acc: 0.612, test acc: 0.617, time cost: 204.5 sec 
epoch: 9, train loss: 0.499, valid acc: 0.630, test acc: 0.632, time cost: 204.5 sec 
epoch: 10, train loss: 0.487, valid acc: 0.626, test acc: 0.628, time cost: 204.4 sec 
epoch: 11, train loss: 0.474, valid acc: 0.637, test acc: 0.639, time cost: 204.5 sec 
epoch: 12, train loss: 0.463, valid acc: 0.635, test acc: 0.642, time cost: 204.5 sec 
epoch: 13, train loss: 0.452, valid acc: 0.623, test acc: 0.622, time cost: 204.1 sec 
epoch: 14, train loss: 0.434, valid acc: 0.634, test acc: 0.635, time cost: 204.4 sec 
epoch: 15, train loss: 0.419, valid acc: 0.635, test acc: 0.631, time cost: 204.4 sec 
epoch: 16, train loss: 0.418, valid acc: 0.632, test acc: 0.633, time cost: 204.4 sec 
epoch: 17, train loss: 0.412, valid acc: 0.644, test acc: 0.643, time cost: 204.4 sec 
epoch: 18, train loss: 0.408, valid acc: 0.635, test acc: 0.640, time cost: 204.4 sec 
epoch: 19, train loss: 0.402, valid acc: 0.640, test acc: 0.641, time cost: 204.5 sec 
epoch: 20, train loss: 0.392, valid acc: 0.644, test acc: 0.647, time cost: 204.7 sec 
epoch: 21, train loss: 0.389, valid acc: 0.635, test acc: 0.635, time cost: 204.5 sec 
epoch: 22, train loss: 0.380, valid acc: 0.634, test acc: 0.631, time cost: 204.3 sec 
epoch: 23, train loss: 0.383, valid acc: 0.643, test acc: 0.649, time cost: 204.4 sec 
epoch: 24, train loss: 0.370, valid acc: 0.648, test acc: 0.651, time cost: 204.3 sec 
epoch: 25, train loss: 0.370, valid acc: 0.640, test acc: 0.640, time cost: 204.5 sec 
epoch: 26, train loss: 0.361, valid acc: 0.643, test acc: 0.645, time cost: 204.6 sec 
epoch: 27, train loss: 0.369, valid acc: 0.643, test acc: 0.647, time cost: 204.6 sec 
epoch: 28, train loss: 0.359, valid acc: 0.639, test acc: 0.637, time cost: 204.7 sec 
epoch: 29, train loss: 0.359, valid acc: 0.647, test acc: 0.647, time cost: 204.3 sec 
epoch: 30, train loss: 0.354, valid acc: 0.631, test acc: 0.637, time cost: 204.3 sec 
epoch: 31, train loss: 0.301, valid acc: 0.646, test acc: 0.647, time cost: 204.4 sec 
epoch: 32, train loss: 0.281, valid acc: 0.646, test acc: 0.649, time cost: 204.4 sec 
epoch: 33, train loss: 0.276, valid acc: 0.643, test acc: 0.649, time cost: 204.4 sec 
epoch: 34, train loss: 0.272, valid acc: 0.643, test acc: 0.650, time cost: 204.3 sec 
epoch: 35, train loss: 0.270, valid acc: 0.646, test acc: 0.649, time cost: 204.5 sec 
epoch: 36, train loss: 0.269, valid acc: 0.645, test acc: 0.649, time cost: 204.7 sec 
epoch: 37, train loss: 0.265, valid acc: 0.648, test acc: 0.649, time cost: 204.5 sec 
epoch: 38, train loss: 0.262, valid acc: 0.645, test acc: 0.651, time cost: 204.5 sec 
epoch: 39, train loss: 0.257, valid acc: 0.642, test acc: 0.649, time cost: 204.5 sec 
epoch: 40, train loss: 0.255, valid acc: 0.644, test acc: 0.650, time cost: 204.4 sec 
epoch: 41, train loss: 0.260, valid acc: 0.649, test acc: 0.650, time cost: 204.5 sec 
epoch: 42, train loss: 0.257, valid acc: 0.643, test acc: 0.648, time cost: 204.5 sec 
epoch: 43, train loss: 0.254, valid acc: 0.646, test acc: 0.649, time cost: 204.5 sec 
epoch: 44, train loss: 0.253, valid acc: 0.648, test acc: 0.650, time cost: 204.6 sec 
epoch: 45, train loss: 0.249, valid acc: 0.645, test acc: 0.649, time cost: 204.4 sec 
epoch: 46, train loss: 0.249, valid acc: 0.648, test acc: 0.653, time cost: 204.3 sec 
epoch: 47, train loss: 0.248, valid acc: 0.645, test acc: 0.648, time cost: 204.5 sec 
epoch: 48, train loss: 0.247, valid acc: 0.647, test acc: 0.649, time cost: 204.4 sec 
epoch: 49, train loss: 0.246, valid acc: 0.648, test acc: 0.650, time cost: 204.5 sec 
epoch: 50, train loss: 0.248, valid acc: 0.642, test acc: 0.649, time cost: 204.3 sec 
epoch: 51, train loss: 0.245, valid acc: 0.645, test acc: 0.648, time cost: 204.4 sec 
epoch: 52, train loss: 0.248, valid acc: 0.647, test acc: 0.651, time cost: 204.5 sec 
epoch: 53, train loss: 0.242, valid acc: 0.644, test acc: 0.645, time cost: 204.4 sec 
epoch: 54, train loss: 0.238, valid acc: 0.644, test acc: 0.647, time cost: 204.4 sec 
epoch: 55, train loss: 0.242, valid acc: 0.640, test acc: 0.645, time cost: 204.5 sec 
epoch: 56, train loss: 0.238, valid acc: 0.648, test acc: 0.651, time cost: 204.3 sec 
epoch: 57, train loss: 0.244, valid acc: 0.647, test acc: 0.649, time cost: 204.3 sec 
epoch: 58, train loss: 0.238, valid acc: 0.647, test acc: 0.649, time cost: 204.3 sec 
epoch: 59, train loss: 0.239, valid acc: 0.646, test acc: 0.648, time cost: 204.3 sec 
epoch: 60, train loss: 0.236, valid acc: 0.645, test acc: 0.648, time cost: 204.7 sec 
epoch: 61, train loss: 0.236, valid acc: 0.647, test acc: 0.649, time cost: 204.6 sec 
epoch: 62, train loss: 0.232, valid acc: 0.642, test acc: 0.649, time cost: 204.6 sec 
epoch: 63, train loss: 0.231, valid acc: 0.645, test acc: 0.649, time cost: 204.7 sec 
epoch: 64, train loss: 0.223, valid acc: 0.643, test acc: 0.651, time cost: 204.6 sec 
epoch: 65, train loss: 0.228, valid acc: 0.641, test acc: 0.650, time cost: 204.6 sec 
epoch: 66, train loss: 0.228, valid acc: 0.643, test acc: 0.651, time cost: 204.7 sec 
epoch: 67, train loss: 0.226, valid acc: 0.644, test acc: 0.651, time cost: 204.6 sec 
epoch: 68, train loss: 0.232, valid acc: 0.644, test acc: 0.651, time cost: 204.8 sec 
epoch: 69, train loss: 0.230, valid acc: 0.643, test acc: 0.649, time cost: 204.7 sec 
epoch: 70, train loss: 0.225, valid acc: 0.644, test acc: 0.650, time cost: 204.6 sec 
epoch: 71, train loss: 0.230, valid acc: 0.646, test acc: 0.651, time cost: 204.4 sec 
epoch: 72, train loss: 0.224, valid acc: 0.644, test acc: 0.650, time cost: 204.6 sec 
epoch: 73, train loss: 0.229, valid acc: 0.643, test acc: 0.650, time cost: 204.4 sec 
epoch: 74, train loss: 0.225, valid acc: 0.644, test acc: 0.650, time cost: 204.4 sec 
epoch: 75, train loss: 0.226, valid acc: 0.645, test acc: 0.650, time cost: 204.3 sec 
epoch: 76, train loss: 0.225, valid acc: 0.645, test acc: 0.651, time cost: 204.6 sec 
epoch: 77, train loss: 0.226, valid acc: 0.648, test acc: 0.652, time cost: 204.8 sec 
