epoch: 1, train loss: 2.215, valid acc: 0.314, test acc: 0.315, time cost: 26.6 sec 
epoch: 2, train loss: 2.127, valid acc: 0.343, test acc: 0.342, time cost: 26.3 sec 
epoch: 3, train loss: 2.075, valid acc: 0.354, test acc: 0.358, time cost: 26.7 sec 
epoch: 4, train loss: 2.043, valid acc: 0.409, test acc: 0.401, time cost: 26.7 sec 
epoch: 5, train loss: 2.021, valid acc: 0.432, test acc: 0.422, time cost: 26.0 sec 
epoch: 6, train loss: 1.997, valid acc: 0.466, test acc: 0.448, time cost: 27.2 sec 
epoch: 7, train loss: 1.971, valid acc: 0.481, test acc: 0.477, time cost: 26.5 sec 
epoch: 8, train loss: 1.936, valid acc: 0.510, test acc: 0.482, time cost: 27.3 sec 
epoch: 9, train loss: 1.938, valid acc: 0.504, test acc: 0.489, time cost: 26.1 sec 
epoch: 10, train loss: 1.912, valid acc: 0.506, test acc: 0.497, time cost: 27.5 sec 
epoch: 11, train loss: 1.890, valid acc: 0.547, test acc: 0.538, time cost: 29.0 sec 
epoch: 12, train loss: 1.860, valid acc: 0.542, test acc: 0.529, time cost: 26.5 sec 
epoch: 13, train loss: 1.863, valid acc: 0.570, test acc: 0.554, time cost: 28.6 sec 
epoch: 14, train loss: 1.843, valid acc: 0.572, test acc: 0.553, time cost: 26.7 sec 
epoch: 15, train loss: 1.808, valid acc: 0.590, test acc: 0.572, time cost: 28.3 sec 
epoch: 16, train loss: 1.816, valid acc: 0.587, test acc: 0.577, time cost: 28.6 sec 
epoch: 17, train loss: 1.782, valid acc: 0.609, test acc: 0.596, time cost: 30.0 sec 
epoch: 18, train loss: 1.770, valid acc: 0.621, test acc: 0.599, time cost: 28.6 sec 
epoch: 19, train loss: 1.755, valid acc: 0.634, test acc: 0.610, time cost: 28.9 sec 
epoch: 20, train loss: 1.744, valid acc: 0.616, test acc: 0.598, time cost: 30.2 sec 
epoch: 21, train loss: 1.721, valid acc: 0.635, test acc: 0.610, time cost: 30.0 sec 
epoch: 22, train loss: 1.696, valid acc: 0.642, test acc: 0.606, time cost: 28.2 sec 
epoch: 23, train loss: 1.680, valid acc: 0.652, test acc: 0.625, time cost: 29.6 sec 
epoch: 24, train loss: 1.662, valid acc: 0.664, test acc: 0.634, time cost: 26.9 sec 
epoch: 25, train loss: 1.659, valid acc: 0.668, test acc: 0.634, time cost: 26.5 sec 
epoch: 26, train loss: 1.650, valid acc: 0.666, test acc: 0.629, time cost: 27.7 sec 
epoch: 27, train loss: 1.619, valid acc: 0.679, test acc: 0.642, time cost: 27.9 sec 
epoch: 28, train loss: 1.605, valid acc: 0.661, test acc: 0.622, time cost: 28.5 sec 
epoch: 29, train loss: 1.611, valid acc: 0.670, test acc: 0.635, time cost: 29.2 sec 
epoch: 30, train loss: 1.564, valid acc: 0.668, test acc: 0.622, time cost: 27.9 sec 
epoch: 31, train loss: 1.554, valid acc: 0.653, test acc: 0.614, time cost: 27.4 sec 
epoch: 32, train loss: 1.549, valid acc: 0.680, test acc: 0.627, time cost: 28.5 sec 
epoch: 33, train loss: 1.519, valid acc: 0.689, test acc: 0.646, time cost: 27.3 sec 
epoch: 34, train loss: 1.531, valid acc: 0.653, test acc: 0.620, time cost: 27.1 sec 
epoch: 35, train loss: 1.507, valid acc: 0.682, test acc: 0.634, time cost: 26.8 sec 
epoch: 36, train loss: 1.486, valid acc: 0.682, test acc: 0.632, time cost: 28.0 sec 
epoch: 37, train loss: 1.468, valid acc: 0.669, test acc: 0.622, time cost: 27.6 sec 
epoch: 38, train loss: 1.452, valid acc: 0.672, test acc: 0.630, time cost: 28.1 sec 
epoch: 39, train loss: 1.429, valid acc: 0.659, test acc: 0.616, time cost: 27.1 sec 
epoch: 40, train loss: 1.430, valid acc: 0.685, test acc: 0.630, time cost: 27.2 sec 
epoch: 41, train loss: 1.398, valid acc: 0.665, test acc: 0.617, time cost: 29.2 sec 
epoch: 42, train loss: 1.391, valid acc: 0.684, test acc: 0.629, time cost: 28.6 sec 
epoch: 43, train loss: 1.360, valid acc: 0.664, test acc: 0.605, time cost: 27.1 sec 
epoch: 44, train loss: 1.358, valid acc: 0.675, test acc: 0.614, time cost: 27.9 sec 
epoch: 45, train loss: 1.336, valid acc: 0.669, test acc: 0.620, time cost: 27.2 sec 
epoch: 46, train loss: 1.300, valid acc: 0.672, test acc: 0.608, time cost: 27.4 sec 
epoch: 47, train loss: 1.307, valid acc: 0.659, test acc: 0.596, time cost: 27.5 sec 
epoch: 48, train loss: 1.301, valid acc: 0.680, test acc: 0.614, time cost: 27.0 sec 
