epoch: 1, train loss: 1.748, valid acc: 0.453, test acc: 0.457, time cost: 73.3 sec 
epoch: 2, train loss: 1.445, valid acc: 0.516, test acc: 0.519, time cost: 74.3 sec 
epoch: 3, train loss: 1.331, valid acc: 0.551, test acc: 0.557, time cost: 72.9 sec 
epoch: 4, train loss: 1.255, valid acc: 0.600, test acc: 0.602, time cost: 71.5 sec 
epoch: 5, train loss: 1.207, valid acc: 0.624, test acc: 0.625, time cost: 73.7 sec 
epoch: 6, train loss: 1.165, valid acc: 0.631, test acc: 0.638, time cost: 73.3 sec 
epoch: 7, train loss: 1.134, valid acc: 0.638, test acc: 0.643, time cost: 73.6 sec 
epoch: 8, train loss: 1.107, valid acc: 0.646, test acc: 0.653, time cost: 74.0 sec 
epoch: 9, train loss: 1.076, valid acc: 0.653, test acc: 0.663, time cost: 74.8 sec 
epoch: 10, train loss: 1.058, valid acc: 0.683, test acc: 0.685, time cost: 74.6 sec 
epoch: 11, train loss: 1.036, valid acc: 0.669, test acc: 0.672, time cost: 73.3 sec 
epoch: 12, train loss: 1.020, valid acc: 0.685, test acc: 0.687, time cost: 73.4 sec 
epoch: 13, train loss: 1.000, valid acc: 0.689, test acc: 0.699, time cost: 72.8 sec 
epoch: 14, train loss: 0.989, valid acc: 0.697, test acc: 0.699, time cost: 72.8 sec 
epoch: 15, train loss: 0.971, valid acc: 0.699, test acc: 0.704, time cost: 73.2 sec 
epoch: 16, train loss: 0.955, valid acc: 0.689, test acc: 0.692, time cost: 73.2 sec 
epoch: 17, train loss: 0.939, valid acc: 0.685, test acc: 0.683, time cost: 70.5 sec 
epoch: 18, train loss: 0.926, valid acc: 0.701, test acc: 0.707, time cost: 70.1 sec 
epoch: 19, train loss: 0.916, valid acc: 0.720, test acc: 0.725, time cost: 70.3 sec 
epoch: 20, train loss: 0.897, valid acc: 0.700, test acc: 0.703, time cost: 71.1 sec 
epoch: 21, train loss: 0.882, valid acc: 0.710, test acc: 0.710, time cost: 71.8 sec 
epoch: 22, train loss: 0.871, valid acc: 0.702, test acc: 0.702, time cost: 72.1 sec 
epoch: 23, train loss: 0.857, valid acc: 0.696, test acc: 0.694, time cost: 72.6 sec 
epoch: 24, train loss: 0.840, valid acc: 0.704, test acc: 0.705, time cost: 72.2 sec 
