epoch: 1, train loss: 1.997, valid acc: 0.264, test acc: 0.269, time cost: 38.0 sec 
epoch: 2, train loss: 1.742, valid acc: 0.391, test acc: 0.397, time cost: 37.8 sec 
epoch: 3, train loss: 1.572, valid acc: 0.504, test acc: 0.510, time cost: 38.1 sec 
epoch: 4, train loss: 1.486, valid acc: 0.530, test acc: 0.529, time cost: 37.6 sec 
epoch: 5, train loss: 1.425, valid acc: 0.536, test acc: 0.539, time cost: 37.7 sec 
epoch: 6, train loss: 1.379, valid acc: 0.565, test acc: 0.566, time cost: 37.6 sec 
epoch: 7, train loss: 1.352, valid acc: 0.576, test acc: 0.575, time cost: 37.7 sec 
epoch: 8, train loss: 1.325, valid acc: 0.589, test acc: 0.592, time cost: 37.5 sec 
epoch: 9, train loss: 1.309, valid acc: 0.595, test acc: 0.600, time cost: 37.6 sec 
epoch: 10, train loss: 1.299, valid acc: 0.620, test acc: 0.620, time cost: 37.7 sec 
epoch: 11, train loss: 1.277, valid acc: 0.624, test acc: 0.627, time cost: 37.5 sec 
epoch: 12, train loss: 1.260, valid acc: 0.639, test acc: 0.637, time cost: 37.5 sec 
epoch: 13, train loss: 1.252, valid acc: 0.648, test acc: 0.642, time cost: 37.9 sec 
epoch: 14, train loss: 1.243, valid acc: 0.653, test acc: 0.649, time cost: 37.6 sec 
epoch: 15, train loss: 1.237, valid acc: 0.599, test acc: 0.591, time cost: 37.3 sec 
epoch: 16, train loss: 1.230, valid acc: 0.645, test acc: 0.648, time cost: 37.3 sec 
epoch: 17, train loss: 1.214, valid acc: 0.626, test acc: 0.629, time cost: 37.3 sec 
epoch: 18, train loss: 1.207, valid acc: 0.621, test acc: 0.618, time cost: 37.3 sec 
epoch: 19, train loss: 1.205, valid acc: 0.670, test acc: 0.675, time cost: 37.6 sec 
epoch: 20, train loss: 1.190, valid acc: 0.626, test acc: 0.634, time cost: 37.3 sec 
epoch: 21, train loss: 1.193, valid acc: 0.659, test acc: 0.658, time cost: 37.3 sec 
epoch: 22, train loss: 1.180, valid acc: 0.635, test acc: 0.642, time cost: 37.3 sec 
epoch: 23, train loss: 1.174, valid acc: 0.657, test acc: 0.655, time cost: 37.3 sec 
epoch: 24, train loss: 1.169, valid acc: 0.658, test acc: 0.662, time cost: 37.3 sec 
epoch: 25, train loss: 1.163, valid acc: 0.626, test acc: 0.630, time cost: 37.3 sec 
epoch: 26, train loss: 1.155, valid acc: 0.653, test acc: 0.652, time cost: 37.6 sec 
epoch: 27, train loss: 1.151, valid acc: 0.654, test acc: 0.652, time cost: 38.5 sec 
epoch: 28, train loss: 1.146, valid acc: 0.620, test acc: 0.629, time cost: 38.8 sec 
epoch: 29, train loss: 1.139, valid acc: 0.666, test acc: 0.667, time cost: 38.7 sec 
epoch: 30, train loss: 1.134, valid acc: 0.654, test acc: 0.659, time cost: 38.9 sec 
epoch: 31, train loss: 1.022, valid acc: 0.708, test acc: 0.710, time cost: 39.9 sec 
epoch: 32, train loss: 0.977, valid acc: 0.714, test acc: 0.717, time cost: 39.1 sec 
epoch: 33, train loss: 0.953, valid acc: 0.706, test acc: 0.710, time cost: 38.1 sec 
epoch: 34, train loss: 0.933, valid acc: 0.702, test acc: 0.707, time cost: 37.6 sec 
epoch: 35, train loss: 0.921, valid acc: 0.702, test acc: 0.708, time cost: 38.0 sec 
epoch: 36, train loss: 0.899, valid acc: 0.699, test acc: 0.702, time cost: 38.0 sec 
epoch: 37, train loss: 0.883, valid acc: 0.691, test acc: 0.699, time cost: 38.1 sec 
epoch: 38, train loss: 0.867, valid acc: 0.688, test acc: 0.690, time cost: 38.5 sec 
epoch: 39, train loss: 0.850, valid acc: 0.677, test acc: 0.681, time cost: 38.3 sec 
epoch: 40, train loss: 0.830, valid acc: 0.684, test acc: 0.690, time cost: 38.2 sec 
epoch: 41, train loss: 0.818, valid acc: 0.688, test acc: 0.687, time cost: 38.1 sec 
epoch: 42, train loss: 0.797, valid acc: 0.679, test acc: 0.688, time cost: 37.5 sec 
epoch: 43, train loss: 0.778, valid acc: 0.665, test acc: 0.663, time cost: 37.6 sec 
epoch: 44, train loss: 0.761, valid acc: 0.664, test acc: 0.675, time cost: 37.6 sec 
epoch: 45, train loss: 0.742, valid acc: 0.649, test acc: 0.652, time cost: 37.6 sec 
epoch: 46, train loss: 0.725, valid acc: 0.647, test acc: 0.651, time cost: 37.6 sec 
epoch: 47, train loss: 0.711, valid acc: 0.657, test acc: 0.664, time cost: 37.5 sec 
epoch: 48, train loss: 0.694, valid acc: 0.651, test acc: 0.655, time cost: 37.5 sec 
epoch: 49, train loss: 0.674, valid acc: 0.649, test acc: 0.650, time cost: 37.7 sec 
epoch: 50, train loss: 0.654, valid acc: 0.639, test acc: 0.649, time cost: 38.1 sec 
epoch: 51, train loss: 0.504, valid acc: 0.641, test acc: 0.653, time cost: 38.8 sec 
epoch: 52, train loss: 0.441, valid acc: 0.631, test acc: 0.638, time cost: 37.9 sec 
epoch: 53, train loss: 0.411, valid acc: 0.627, test acc: 0.636, time cost: 37.8 sec 
epoch: 54, train loss: 0.384, valid acc: 0.628, test acc: 0.636, time cost: 37.8 sec 
epoch: 55, train loss: 0.365, valid acc: 0.618, test acc: 0.629, time cost: 37.9 sec 
epoch: 56, train loss: 0.353, valid acc: 0.622, test acc: 0.630, time cost: 37.8 sec 
epoch: 57, train loss: 0.332, valid acc: 0.615, test acc: 0.625, time cost: 38.1 sec 
epoch: 58, train loss: 0.317, valid acc: 0.617, test acc: 0.627, time cost: 37.8 sec 
epoch: 59, train loss: 0.300, valid acc: 0.619, test acc: 0.625, time cost: 37.8 sec 
epoch: 60, train loss: 0.292, valid acc: 0.616, test acc: 0.624, time cost: 37.8 sec 
epoch: 61, train loss: 0.279, valid acc: 0.614, test acc: 0.624, time cost: 37.6 sec 
epoch: 62, train loss: 0.268, valid acc: 0.611, test acc: 0.622, time cost: 37.6 sec 
epoch: 63, train loss: 0.257, valid acc: 0.608, test acc: 0.623, time cost: 37.6 sec 
epoch: 64, train loss: 0.243, valid acc: 0.613, test acc: 0.620, time cost: 37.6 sec 
epoch: 65, train loss: 0.232, valid acc: 0.614, test acc: 0.621, time cost: 37.6 sec 
epoch: 66, train loss: 0.222, valid acc: 0.611, test acc: 0.620, time cost: 37.5 sec 
epoch: 67, train loss: 0.214, valid acc: 0.607, test acc: 0.612, time cost: 37.5 sec 
epoch: 68, train loss: 0.200, valid acc: 0.610, test acc: 0.619, time cost: 37.4 sec 
epoch: 69, train loss: 0.188, valid acc: 0.609, test acc: 0.621, time cost: 37.5 sec 
