epoch: 1, train loss: 1.460, valid acc: 0.468, test acc: 0.476, time cost: 236.4 sec 
epoch: 2, train loss: 0.981, valid acc: 0.524, test acc: 0.530, time cost: 236.0 sec 
epoch: 3, train loss: 0.800, valid acc: 0.546, test acc: 0.548, time cost: 235.7 sec 
epoch: 4, train loss: 0.674, valid acc: 0.612, test acc: 0.613, time cost: 236.0 sec 
epoch: 5, train loss: 0.600, valid acc: 0.598, test acc: 0.602, time cost: 235.9 sec 
epoch: 6, train loss: 0.544, valid acc: 0.634, test acc: 0.638, time cost: 236.0 sec 
epoch: 7, train loss: 0.505, valid acc: 0.637, test acc: 0.638, time cost: 236.0 sec 
epoch: 8, train loss: 0.472, valid acc: 0.642, test acc: 0.641, time cost: 235.7 sec 
epoch: 9, train loss: 0.447, valid acc: 0.625, test acc: 0.629, time cost: 235.1 sec 
epoch: 10, train loss: 0.430, valid acc: 0.639, test acc: 0.642, time cost: 236.9 sec 
epoch: 11, train loss: 0.414, valid acc: 0.645, test acc: 0.647, time cost: 236.2 sec 
epoch: 12, train loss: 0.400, valid acc: 0.632, test acc: 0.633, time cost: 234.8 sec 
epoch: 13, train loss: 0.386, valid acc: 0.637, test acc: 0.641, time cost: 237.9 sec 
epoch: 14, train loss: 0.376, valid acc: 0.657, test acc: 0.657, time cost: 236.7 sec 
epoch: 15, train loss: 0.369, valid acc: 0.645, test acc: 0.642, time cost: 236.1 sec 
epoch: 16, train loss: 0.364, valid acc: 0.641, test acc: 0.643, time cost: 234.7 sec 
epoch: 17, train loss: 0.358, valid acc: 0.651, test acc: 0.650, time cost: 237.9 sec 
epoch: 18, train loss: 0.354, valid acc: 0.666, test acc: 0.675, time cost: 236.4 sec 
epoch: 19, train loss: 0.346, valid acc: 0.650, test acc: 0.656, time cost: 235.9 sec 
epoch: 20, train loss: 0.337, valid acc: 0.651, test acc: 0.656, time cost: 235.9 sec 
epoch: 21, train loss: 0.333, valid acc: 0.645, test acc: 0.649, time cost: 236.2 sec 
epoch: 22, train loss: 0.332, valid acc: 0.650, test acc: 0.654, time cost: 235.9 sec 
epoch: 23, train loss: 0.333, valid acc: 0.639, test acc: 0.642, time cost: 235.7 sec 
epoch: 24, train loss: 0.326, valid acc: 0.653, test acc: 0.660, time cost: 235.7 sec 
epoch: 25, train loss: 0.328, valid acc: 0.650, test acc: 0.656, time cost: 236.4 sec 
epoch: 26, train loss: 0.323, valid acc: 0.657, test acc: 0.661, time cost: 235.8 sec 
epoch: 27, train loss: 0.317, valid acc: 0.663, test acc: 0.667, time cost: 235.9 sec 
epoch: 28, train loss: 0.316, valid acc: 0.648, test acc: 0.655, time cost: 236.1 sec 
epoch: 29, train loss: 0.312, valid acc: 0.655, test acc: 0.660, time cost: 235.7 sec 
epoch: 30, train loss: 0.313, valid acc: 0.659, test acc: 0.659, time cost: 236.0 sec 
epoch: 31, train loss: 0.225, valid acc: 0.670, test acc: 0.673, time cost: 235.9 sec 
epoch: 32, train loss: 0.193, valid acc: 0.672, test acc: 0.674, time cost: 236.0 sec 
epoch: 33, train loss: 0.180, valid acc: 0.667, test acc: 0.671, time cost: 237.4 sec 
epoch: 34, train loss: 0.174, valid acc: 0.671, test acc: 0.678, time cost: 236.0 sec 
epoch: 35, train loss: 0.170, valid acc: 0.674, test acc: 0.677, time cost: 235.4 sec 
epoch: 36, train loss: 0.175, valid acc: 0.667, test acc: 0.669, time cost: 235.6 sec 
epoch: 37, train loss: 0.167, valid acc: 0.671, test acc: 0.672, time cost: 236.0 sec 
epoch: 38, train loss: 0.161, valid acc: 0.671, test acc: 0.673, time cost: 236.1 sec 
epoch: 39, train loss: 0.155, valid acc: 0.664, test acc: 0.671, time cost: 224.2 sec 
epoch: 40, train loss: 0.159, valid acc: 0.668, test acc: 0.670, time cost: 217.8 sec 
epoch: 41, train loss: 0.158, valid acc: 0.671, test acc: 0.674, time cost: 217.7 sec 
epoch: 42, train loss: 0.149, valid acc: 0.675, test acc: 0.676, time cost: 217.9 sec 
epoch: 43, train loss: 0.155, valid acc: 0.666, test acc: 0.669, time cost: 217.7 sec 
epoch: 44, train loss: 0.150, valid acc: 0.668, test acc: 0.674, time cost: 217.6 sec 
epoch: 45, train loss: 0.153, valid acc: 0.668, test acc: 0.669, time cost: 217.8 sec 
epoch: 46, train loss: 0.151, valid acc: 0.667, test acc: 0.669, time cost: 217.7 sec 
epoch: 47, train loss: 0.145, valid acc: 0.670, test acc: 0.673, time cost: 217.9 sec 
epoch: 48, train loss: 0.151, valid acc: 0.672, test acc: 0.677, time cost: 217.6 sec 
epoch: 49, train loss: 0.146, valid acc: 0.667, test acc: 0.673, time cost: 217.6 sec 
epoch: 50, train loss: 0.146, valid acc: 0.671, test acc: 0.673, time cost: 217.6 sec 
epoch: 51, train loss: 0.135, valid acc: 0.671, test acc: 0.672, time cost: 217.6 sec 
epoch: 52, train loss: 0.135, valid acc: 0.672, test acc: 0.674, time cost: 217.6 sec 
epoch: 53, train loss: 0.132, valid acc: 0.668, test acc: 0.673, time cost: 217.6 sec 
epoch: 54, train loss: 0.126, valid acc: 0.675, test acc: 0.677, time cost: 217.4 sec 
epoch: 55, train loss: 0.129, valid acc: 0.670, test acc: 0.672, time cost: 217.2 sec 
epoch: 56, train loss: 0.124, valid acc: 0.673, test acc: 0.674, time cost: 217.3 sec 
epoch: 57, train loss: 0.127, valid acc: 0.672, test acc: 0.675, time cost: 217.2 sec 
epoch: 58, train loss: 0.124, valid acc: 0.674, test acc: 0.678, time cost: 217.0 sec 
epoch: 59, train loss: 0.126, valid acc: 0.677, test acc: 0.679, time cost: 217.0 sec 
epoch: 60, train loss: 0.127, valid acc: 0.673, test acc: 0.676, time cost: 217.2 sec 
epoch: 61, train loss: 0.124, valid acc: 0.673, test acc: 0.679, time cost: 216.9 sec 
epoch: 62, train loss: 0.123, valid acc: 0.672, test acc: 0.677, time cost: 216.9 sec 
epoch: 63, train loss: 0.124, valid acc: 0.671, test acc: 0.675, time cost: 216.9 sec 
epoch: 64, train loss: 0.123, valid acc: 0.675, test acc: 0.680, time cost: 216.9 sec 
epoch: 65, train loss: 0.126, valid acc: 0.671, test acc: 0.676, time cost: 217.1 sec 
epoch: 66, train loss: 0.125, valid acc: 0.673, test acc: 0.676, time cost: 216.8 sec 
epoch: 67, train loss: 0.124, valid acc: 0.672, test acc: 0.673, time cost: 217.0 sec 
epoch: 68, train loss: 0.126, valid acc: 0.671, test acc: 0.677, time cost: 217.0 sec 
epoch: 69, train loss: 0.122, valid acc: 0.671, test acc: 0.672, time cost: 217.1 sec 
epoch: 70, train loss: 0.124, valid acc: 0.671, test acc: 0.676, time cost: 217.2 sec 
epoch: 71, train loss: 0.119, valid acc: 0.671, test acc: 0.674, time cost: 217.4 sec 
epoch: 72, train loss: 0.117, valid acc: 0.671, test acc: 0.675, time cost: 217.2 sec 
epoch: 73, train loss: 0.122, valid acc: 0.674, test acc: 0.676, time cost: 217.2 sec 
epoch: 74, train loss: 0.117, valid acc: 0.672, test acc: 0.674, time cost: 217.1 sec 
epoch: 75, train loss: 0.117, valid acc: 0.672, test acc: 0.676, time cost: 217.1 sec 
epoch: 76, train loss: 0.122, valid acc: 0.668, test acc: 0.671, time cost: 217.4 sec 
epoch: 77, train loss: 0.120, valid acc: 0.666, test acc: 0.668, time cost: 217.3 sec 
epoch: 78, train loss: 0.117, valid acc: 0.671, test acc: 0.673, time cost: 217.0 sec 
epoch: 79, train loss: 0.120, valid acc: 0.670, test acc: 0.674, time cost: 217.1 sec 
epoch: 80, train loss: 0.122, valid acc: 0.670, test acc: 0.675, time cost: 217.0 sec 
epoch: 81, train loss: 0.119, valid acc: 0.672, test acc: 0.675, time cost: 216.9 sec 
epoch: 82, train loss: 0.120, valid acc: 0.672, test acc: 0.677, time cost: 216.8 sec 
epoch: 83, train loss: 0.119, valid acc: 0.666, test acc: 0.673, time cost: 216.6 sec 
epoch: 84, train loss: 0.118, valid acc: 0.672, test acc: 0.676, time cost: 216.3 sec 
epoch: 85, train loss: 0.118, valid acc: 0.673, test acc: 0.677, time cost: 216.5 sec 
epoch: 86, train loss: 0.116, valid acc: 0.672, test acc: 0.678, time cost: 216.4 sec 
epoch: 87, train loss: 0.113, valid acc: 0.672, test acc: 0.674, time cost: 216.5 sec 
epoch: 88, train loss: 0.114, valid acc: 0.673, test acc: 0.678, time cost: 216.6 sec 
epoch: 89, train loss: 0.117, valid acc: 0.673, test acc: 0.677, time cost: 216.8 sec 
epoch: 90, train loss: 0.114, valid acc: 0.673, test acc: 0.677, time cost: 216.5 sec 
epoch: 91, train loss: 0.118, valid acc: 0.670, test acc: 0.674, time cost: 216.5 sec 
epoch: 92, train loss: 0.113, valid acc: 0.673, test acc: 0.678, time cost: 216.5 sec 
epoch: 93, train loss: 0.117, valid acc: 0.672, test acc: 0.674, time cost: 216.6 sec 
epoch: 94, train loss: 0.115, valid acc: 0.671, test acc: 0.674, time cost: 216.9 sec 
epoch: 95, train loss: 0.116, valid acc: 0.673, test acc: 0.675, time cost: 216.8 sec 
epoch: 96, train loss: 0.117, valid acc: 0.673, test acc: 0.676, time cost: 216.8 sec 
epoch: 97, train loss: 0.116, valid acc: 0.671, test acc: 0.673, time cost: 217.0 sec 
epoch: 98, train loss: 0.119, valid acc: 0.668, test acc: 0.674, time cost: 216.9 sec 
epoch: 99, train loss: 0.117, valid acc: 0.674, test acc: 0.676, time cost: 216.6 sec 
epoch: 100, train loss: 0.118, valid acc: 0.672, test acc: 0.677, time cost: 222.2 sec 
