epoch: 1, train loss: 1.853, valid acc: 0.458, test acc: 0.452, time cost: 234.1 sec 
epoch: 2, train loss: 1.564, valid acc: 0.516, test acc: 0.529, time cost: 234.3 sec 
epoch: 3, train loss: 1.453, valid acc: 0.586, test acc: 0.584, time cost: 234.6 sec 
epoch: 4, train loss: 1.387, valid acc: 0.604, test acc: 0.605, time cost: 234.5 sec 
epoch: 5, train loss: 1.351, valid acc: 0.637, test acc: 0.637, time cost: 234.7 sec 
epoch: 6, train loss: 1.323, valid acc: 0.629, test acc: 0.621, time cost: 234.4 sec 
epoch: 7, train loss: 1.300, valid acc: 0.650, test acc: 0.641, time cost: 235.4 sec 
epoch: 8, train loss: 1.282, valid acc: 0.650, test acc: 0.643, time cost: 235.3 sec 
epoch: 9, train loss: 1.263, valid acc: 0.673, test acc: 0.664, time cost: 235.4 sec 
epoch: 10, train loss: 1.253, valid acc: 0.657, test acc: 0.655, time cost: 235.5 sec 
epoch: 11, train loss: 1.241, valid acc: 0.665, test acc: 0.670, time cost: 234.9 sec 
epoch: 12, train loss: 1.228, valid acc: 0.653, test acc: 0.660, time cost: 235.2 sec 
epoch: 13, train loss: 1.220, valid acc: 0.684, test acc: 0.686, time cost: 235.3 sec 
epoch: 14, train loss: 1.211, valid acc: 0.673, test acc: 0.666, time cost: 235.0 sec 
epoch: 15, train loss: 1.197, valid acc: 0.676, test acc: 0.679, time cost: 235.2 sec 
epoch: 16, train loss: 1.188, valid acc: 0.692, test acc: 0.692, time cost: 235.2 sec 
epoch: 17, train loss: 1.184, valid acc: 0.696, test acc: 0.695, time cost: 234.1 sec 
epoch: 18, train loss: 1.176, valid acc: 0.665, test acc: 0.666, time cost: 235.1 sec 
epoch: 19, train loss: 1.167, valid acc: 0.690, test acc: 0.688, time cost: 235.1 sec 
epoch: 20, train loss: 1.160, valid acc: 0.681, test acc: 0.677, time cost: 235.9 sec 
epoch: 21, train loss: 1.155, valid acc: 0.693, test acc: 0.692, time cost: 234.4 sec 
