epoch: 1, train loss: 1.811, valid acc: 0.426, test acc: 0.427, time cost: 251.5 sec 
epoch: 2, train loss: 1.528, valid acc: 0.509, test acc: 0.514, time cost: 251.4 sec 
epoch: 3, train loss: 1.405, valid acc: 0.559, test acc: 0.556, time cost: 257.0 sec 
epoch: 4, train loss: 1.331, valid acc: 0.571, test acc: 0.568, time cost: 258.1 sec 
epoch: 5, train loss: 1.285, valid acc: 0.590, test acc: 0.589, time cost: 254.4 sec 
epoch: 6, train loss: 1.246, valid acc: 0.626, test acc: 0.625, time cost: 251.2 sec 
epoch: 7, train loss: 1.210, valid acc: 0.639, test acc: 0.643, time cost: 251.6 sec 
epoch: 8, train loss: 1.186, valid acc: 0.650, test acc: 0.650, time cost: 251.4 sec 
epoch: 9, train loss: 1.164, valid acc: 0.667, test acc: 0.668, time cost: 251.8 sec 
epoch: 10, train loss: 1.147, valid acc: 0.670, test acc: 0.671, time cost: 255.0 sec 
epoch: 11, train loss: 1.123, valid acc: 0.676, test acc: 0.674, time cost: 258.3 sec 
epoch: 12, train loss: 1.112, valid acc: 0.668, test acc: 0.671, time cost: 255.7 sec 
epoch: 13, train loss: 1.095, valid acc: 0.680, test acc: 0.683, time cost: 250.8 sec 
epoch: 14, train loss: 1.076, valid acc: 0.680, test acc: 0.691, time cost: 251.3 sec 
epoch: 15, train loss: 1.065, valid acc: 0.705, test acc: 0.703, time cost: 251.8 sec 
epoch: 16, train loss: 1.047, valid acc: 0.692, test acc: 0.692, time cost: 250.6 sec 
epoch: 17, train loss: 1.040, valid acc: 0.693, test acc: 0.689, time cost: 253.8 sec 
epoch: 18, train loss: 1.020, valid acc: 0.707, test acc: 0.714, time cost: 260.0 sec 
epoch: 19, train loss: 1.006, valid acc: 0.691, test acc: 0.696, time cost: 257.9 sec 
epoch: 20, train loss: 0.995, valid acc: 0.697, test acc: 0.696, time cost: 251.4 sec 
epoch: 21, train loss: 0.984, valid acc: 0.704, test acc: 0.711, time cost: 251.5 sec 
epoch: 22, train loss: 0.966, valid acc: 0.710, test acc: 0.712, time cost: 251.7 sec 
epoch: 23, train loss: 0.955, valid acc: 0.699, test acc: 0.700, time cost: 250.9 sec 
epoch: 24, train loss: 0.942, valid acc: 0.690, test acc: 0.693, time cost: 252.6 sec 
epoch: 25, train loss: 0.929, valid acc: 0.708, test acc: 0.712, time cost: 259.4 sec 
epoch: 26, train loss: 0.914, valid acc: 0.706, test acc: 0.710, time cost: 258.8 sec 
epoch: 27, train loss: 0.899, valid acc: 0.712, test acc: 0.714, time cost: 252.0 sec 
epoch: 28, train loss: 0.883, valid acc: 0.706, test acc: 0.713, time cost: 251.3 sec 
epoch: 29, train loss: 0.868, valid acc: 0.713, test acc: 0.717, time cost: 251.0 sec 
epoch: 30, train loss: 0.850, valid acc: 0.706, test acc: 0.711, time cost: 252.1 sec 
epoch: 31, train loss: 0.720, valid acc: 0.710, test acc: 0.714, time cost: 250.9 sec 
epoch: 32, train loss: 0.667, valid acc: 0.708, test acc: 0.710, time cost: 259.6 sec 
epoch: 33, train loss: 0.640, valid acc: 0.702, test acc: 0.707, time cost: 259.8 sec 
epoch: 34, train loss: 0.624, valid acc: 0.709, test acc: 0.712, time cost: 252.0 sec 
epoch: 35, train loss: 0.608, valid acc: 0.701, test acc: 0.703, time cost: 252.3 sec 
epoch: 36, train loss: 0.590, valid acc: 0.697, test acc: 0.698, time cost: 251.7 sec 
epoch: 37, train loss: 0.579, valid acc: 0.703, test acc: 0.700, time cost: 251.4 sec 
epoch: 38, train loss: 0.560, valid acc: 0.685, test acc: 0.689, time cost: 251.1 sec 
epoch: 39, train loss: 0.551, valid acc: 0.693, test acc: 0.696, time cost: 258.0 sec 
epoch: 40, train loss: 0.537, valid acc: 0.697, test acc: 0.696, time cost: 259.4 sec 
epoch: 41, train loss: 0.522, valid acc: 0.690, test acc: 0.687, time cost: 254.0 sec 
epoch: 42, train loss: 0.507, valid acc: 0.681, test acc: 0.685, time cost: 251.7 sec 
epoch: 43, train loss: 0.502, valid acc: 0.682, test acc: 0.686, time cost: 251.4 sec 
epoch: 44, train loss: 0.488, valid acc: 0.689, test acc: 0.693, time cost: 251.6 sec 
epoch: 45, train loss: 0.474, valid acc: 0.693, test acc: 0.694, time cost: 251.2 sec 
epoch: 46, train loss: 0.472, valid acc: 0.683, test acc: 0.682, time cost: 257.1 sec 
epoch: 47, train loss: 0.460, valid acc: 0.673, test acc: 0.675, time cost: 259.2 sec 
epoch: 48, train loss: 0.447, valid acc: 0.680, test acc: 0.681, time cost: 255.1 sec 
epoch: 49, train loss: 0.442, valid acc: 0.681, test acc: 0.683, time cost: 251.0 sec 
epoch: 50, train loss: 0.425, valid acc: 0.683, test acc: 0.692, time cost: 251.3 sec 
epoch: 51, train loss: 0.419, valid acc: 0.686, test acc: 0.685, time cost: 251.1 sec 
epoch: 52, train loss: 0.413, valid acc: 0.680, test acc: 0.684, time cost: 252.1 sec 
epoch: 53, train loss: 0.404, valid acc: 0.677, test acc: 0.680, time cost: 255.6 sec 
epoch: 54, train loss: 0.398, valid acc: 0.673, test acc: 0.678, time cost: 259.3 sec 
epoch: 55, train loss: 0.389, valid acc: 0.675, test acc: 0.677, time cost: 257.6 sec 
epoch: 56, train loss: 0.382, valid acc: 0.683, test acc: 0.686, time cost: 252.5 sec 
epoch: 57, train loss: 0.379, valid acc: 0.667, test acc: 0.674, time cost: 252.8 sec 
epoch: 58, train loss: 0.373, valid acc: 0.673, test acc: 0.672, time cost: 253.1 sec 
epoch: 59, train loss: 0.365, valid acc: 0.670, test acc: 0.671, time cost: 251.5 sec 
epoch: 60, train loss: 0.360, valid acc: 0.691, test acc: 0.689, time cost: 252.3 sec 
epoch: 61, train loss: 0.332, valid acc: 0.684, test acc: 0.690, time cost: 258.3 sec 
epoch: 62, train loss: 0.326, valid acc: 0.687, test acc: 0.687, time cost: 257.6 sec 
epoch: 63, train loss: 0.318, valid acc: 0.687, test acc: 0.688, time cost: 251.2 sec 
epoch: 64, train loss: 0.317, valid acc: 0.685, test acc: 0.689, time cost: 251.4 sec 
epoch: 65, train loss: 0.316, valid acc: 0.680, test acc: 0.683, time cost: 250.3 sec 
epoch: 66, train loss: 0.313, valid acc: 0.688, test acc: 0.686, time cost: 251.3 sec 
epoch: 67, train loss: 0.313, valid acc: 0.692, test acc: 0.687, time cost: 251.6 sec 
epoch: 68, train loss: 0.309, valid acc: 0.685, test acc: 0.690, time cost: 259.4 sec 
epoch: 69, train loss: 0.308, valid acc: 0.681, test acc: 0.689, time cost: 259.1 sec 
epoch: 70, train loss: 0.305, valid acc: 0.685, test acc: 0.688, time cost: 252.7 sec 
