epoch: 1, train loss: 1.203, valid acc: 0.507, test acc: 0.508, time cost: 250.2 sec 
epoch: 2, train loss: 0.766, valid acc: 0.517, test acc: 0.521, time cost: 252.3 sec 
epoch: 3, train loss: 0.605, valid acc: 0.532, test acc: 0.538, time cost: 251.3 sec 
epoch: 4, train loss: 0.538, valid acc: 0.551, test acc: 0.556, time cost: 251.8 sec 
epoch: 5, train loss: 0.474, valid acc: 0.550, test acc: 0.559, time cost: 250.3 sec 
epoch: 6, train loss: 0.454, valid acc: 0.552, test acc: 0.561, time cost: 251.8 sec 
epoch: 7, train loss: 0.421, valid acc: 0.549, test acc: 0.557, time cost: 251.3 sec 
epoch: 8, train loss: 0.384, valid acc: 0.571, test acc: 0.571, time cost: 250.2 sec 
epoch: 9, train loss: 0.381, valid acc: 0.559, test acc: 0.566, time cost: 251.6 sec 
epoch: 10, train loss: 0.368, valid acc: 0.569, test acc: 0.569, time cost: 249.9 sec 
epoch: 11, train loss: 0.348, valid acc: 0.563, test acc: 0.568, time cost: 253.1 sec 
epoch: 12, train loss: 0.344, valid acc: 0.555, test acc: 0.560, time cost: 250.4 sec 
epoch: 13, train loss: 0.324, valid acc: 0.568, test acc: 0.575, time cost: 251.1 sec 
epoch: 14, train loss: 0.321, valid acc: 0.563, test acc: 0.567, time cost: 249.5 sec 
epoch: 15, train loss: 0.313, valid acc: 0.573, test acc: 0.573, time cost: 252.9 sec 
epoch: 16, train loss: 0.305, valid acc: 0.572, test acc: 0.574, time cost: 249.8 sec 
epoch: 17, train loss: 0.295, valid acc: 0.560, test acc: 0.560, time cost: 250.4 sec 
epoch: 18, train loss: 0.289, valid acc: 0.570, test acc: 0.570, time cost: 250.8 sec 
epoch: 19, train loss: 0.288, valid acc: 0.568, test acc: 0.567, time cost: 251.5 sec 
epoch: 20, train loss: 0.281, valid acc: 0.571, test acc: 0.572, time cost: 249.4 sec 
epoch: 21, train loss: 0.275, valid acc: 0.575, test acc: 0.581, time cost: 249.4 sec 
epoch: 22, train loss: 0.271, valid acc: 0.569, test acc: 0.575, time cost: 252.1 sec 
epoch: 23, train loss: 0.267, valid acc: 0.575, test acc: 0.573, time cost: 248.8 sec 
epoch: 24, train loss: 0.265, valid acc: 0.568, test acc: 0.573, time cost: 250.7 sec 
epoch: 25, train loss: 0.258, valid acc: 0.568, test acc: 0.569, time cost: 250.2 sec 
epoch: 26, train loss: 0.265, valid acc: 0.575, test acc: 0.582, time cost: 249.5 sec 
epoch: 27, train loss: 0.255, valid acc: 0.572, test acc: 0.576, time cost: 248.6 sec 
epoch: 28, train loss: 0.258, valid acc: 0.567, test acc: 0.569, time cost: 250.8 sec 
epoch: 29, train loss: 0.256, valid acc: 0.571, test acc: 0.577, time cost: 248.2 sec 
epoch: 30, train loss: 0.246, valid acc: 0.576, test acc: 0.581, time cost: 250.5 sec 
epoch: 31, train loss: 0.192, valid acc: 0.571, test acc: 0.575, time cost: 248.8 sec 
epoch: 32, train loss: 0.175, valid acc: 0.575, test acc: 0.578, time cost: 249.6 sec 
epoch: 33, train loss: 0.168, valid acc: 0.572, test acc: 0.580, time cost: 249.7 sec 
epoch: 34, train loss: 0.163, valid acc: 0.575, test acc: 0.580, time cost: 250.4 sec 
epoch: 35, train loss: 0.161, valid acc: 0.572, test acc: 0.577, time cost: 249.1 sec 
epoch: 36, train loss: 0.161, valid acc: 0.574, test acc: 0.580, time cost: 250.6 sec 
epoch: 37, train loss: 0.159, valid acc: 0.573, test acc: 0.578, time cost: 248.1 sec 
epoch: 38, train loss: 0.156, valid acc: 0.572, test acc: 0.577, time cost: 249.8 sec 
epoch: 39, train loss: 0.156, valid acc: 0.573, test acc: 0.577, time cost: 249.8 sec 
epoch: 40, train loss: 0.153, valid acc: 0.577, test acc: 0.581, time cost: 248.4 sec 
epoch: 41, train loss: 0.154, valid acc: 0.575, test acc: 0.577, time cost: 251.0 sec 
epoch: 42, train loss: 0.148, valid acc: 0.575, test acc: 0.581, time cost: 248.3 sec 
epoch: 43, train loss: 0.147, valid acc: 0.571, test acc: 0.578, time cost: 250.8 sec 
epoch: 44, train loss: 0.151, valid acc: 0.573, test acc: 0.578, time cost: 248.1 sec 
epoch: 45, train loss: 0.149, valid acc: 0.573, test acc: 0.577, time cost: 250.1 sec 
epoch: 46, train loss: 0.142, valid acc: 0.573, test acc: 0.577, time cost: 248.9 sec 
epoch: 47, train loss: 0.145, valid acc: 0.572, test acc: 0.578, time cost: 249.2 sec 
epoch: 48, train loss: 0.146, valid acc: 0.576, test acc: 0.579, time cost: 249.7 sec 
epoch: 49, train loss: 0.146, valid acc: 0.573, test acc: 0.576, time cost: 249.8 sec 
epoch: 50, train loss: 0.146, valid acc: 0.576, test acc: 0.578, time cost: 248.0 sec 
epoch: 51, train loss: 0.143, valid acc: 0.575, test acc: 0.579, time cost: 250.8 sec 
