epoch: 1, train loss: 2.319, valid acc: 0.184, test acc: 0.182, time cost: 29.7 sec 
epoch: 2, train loss: 2.289, valid acc: 0.204, test acc: 0.202, time cost: 28.0 sec 
epoch: 3, train loss: 2.282, valid acc: 0.266, test acc: 0.250, time cost: 27.8 sec 
epoch: 4, train loss: 2.273, valid acc: 0.268, test acc: 0.259, time cost: 29.0 sec 
epoch: 5, train loss: 2.274, valid acc: 0.289, test acc: 0.285, time cost: 29.3 sec 
epoch: 6, train loss: 2.265, valid acc: 0.264, test acc: 0.260, time cost: 27.2 sec 
epoch: 7, train loss: 2.264, valid acc: 0.311, test acc: 0.310, time cost: 27.2 sec 
epoch: 8, train loss: 2.255, valid acc: 0.345, test acc: 0.338, time cost: 26.5 sec 
epoch: 9, train loss: 2.256, valid acc: 0.311, test acc: 0.301, time cost: 26.7 sec 
epoch: 10, train loss: 2.257, valid acc: 0.307, test acc: 0.304, time cost: 27.7 sec 
epoch: 11, train loss: 2.251, valid acc: 0.343, test acc: 0.332, time cost: 27.4 sec 
epoch: 12, train loss: 2.245, valid acc: 0.314, test acc: 0.298, time cost: 28.2 sec 
epoch: 13, train loss: 2.245, valid acc: 0.370, test acc: 0.359, time cost: 28.1 sec 
epoch: 14, train loss: 2.239, valid acc: 0.343, test acc: 0.340, time cost: 29.4 sec 
epoch: 15, train loss: 2.236, valid acc: 0.366, test acc: 0.354, time cost: 28.6 sec 
epoch: 16, train loss: 2.228, valid acc: 0.353, test acc: 0.343, time cost: 28.2 sec 
epoch: 17, train loss: 2.233, valid acc: 0.400, test acc: 0.384, time cost: 28.9 sec 
epoch: 18, train loss: 2.222, valid acc: 0.422, test acc: 0.412, time cost: 29.9 sec 
epoch: 19, train loss: 2.224, valid acc: 0.412, test acc: 0.401, time cost: 28.1 sec 
epoch: 20, train loss: 2.220, valid acc: 0.422, test acc: 0.416, time cost: 27.8 sec 
epoch: 21, train loss: 2.211, valid acc: 0.411, test acc: 0.406, time cost: 28.8 sec 
epoch: 22, train loss: 2.208, valid acc: 0.423, test acc: 0.406, time cost: 29.0 sec 
epoch: 23, train loss: 2.207, valid acc: 0.433, test acc: 0.419, time cost: 27.5 sec 
epoch: 24, train loss: 2.199, valid acc: 0.419, test acc: 0.411, time cost: 28.6 sec 
epoch: 25, train loss: 2.199, valid acc: 0.444, test acc: 0.419, time cost: 28.3 sec 
