epoch: 1, train loss: 1.912, valid acc: 0.396, test acc: 0.398, time cost: 57.3 sec 
epoch: 2, train loss: 1.696, valid acc: 0.452, test acc: 0.458, time cost: 57.1 sec 
epoch: 3, train loss: 1.596, valid acc: 0.488, test acc: 0.499, time cost: 56.9 sec 
epoch: 4, train loss: 1.553, valid acc: 0.501, test acc: 0.502, time cost: 56.1 sec 
epoch: 5, train loss: 1.517, valid acc: 0.529, test acc: 0.522, time cost: 55.9 sec 
epoch: 6, train loss: 1.484, valid acc: 0.536, test acc: 0.544, time cost: 55.4 sec 
epoch: 7, train loss: 1.463, valid acc: 0.555, test acc: 0.562, time cost: 53.6 sec 
epoch: 8, train loss: 1.446, valid acc: 0.553, test acc: 0.557, time cost: 54.0 sec 
epoch: 9, train loss: 1.431, valid acc: 0.558, test acc: 0.563, time cost: 54.0 sec 
epoch: 10, train loss: 1.414, valid acc: 0.566, test acc: 0.565, time cost: 53.8 sec 
epoch: 11, train loss: 1.403, valid acc: 0.560, test acc: 0.556, time cost: 57.1 sec 
epoch: 12, train loss: 1.393, valid acc: 0.569, test acc: 0.574, time cost: 56.3 sec 
epoch: 13, train loss: 1.378, valid acc: 0.558, test acc: 0.566, time cost: 54.9 sec 
epoch: 14, train loss: 1.369, valid acc: 0.567, test acc: 0.569, time cost: 55.6 sec 
epoch: 15, train loss: 1.356, valid acc: 0.559, test acc: 0.557, time cost: 56.4 sec 
epoch: 16, train loss: 1.344, valid acc: 0.565, test acc: 0.571, time cost: 54.4 sec 
epoch: 17, train loss: 1.336, valid acc: 0.565, test acc: 0.573, time cost: 51.8 sec 
epoch: 18, train loss: 1.323, valid acc: 0.571, test acc: 0.579, time cost: 54.4 sec 
epoch: 19, train loss: 1.316, valid acc: 0.573, test acc: 0.574, time cost: 54.8 sec 
epoch: 20, train loss: 1.303, valid acc: 0.584, test acc: 0.582, time cost: 53.7 sec 
epoch: 21, train loss: 1.296, valid acc: 0.571, test acc: 0.575, time cost: 52.8 sec 
epoch: 22, train loss: 1.281, valid acc: 0.582, test acc: 0.585, time cost: 56.4 sec 
epoch: 23, train loss: 1.272, valid acc: 0.567, test acc: 0.565, time cost: 57.2 sec 
epoch: 24, train loss: 1.255, valid acc: 0.558, test acc: 0.560, time cost: 57.6 sec 
epoch: 25, train loss: 1.246, valid acc: 0.559, test acc: 0.561, time cost: 56.7 sec 
epoch: 26, train loss: 1.237, valid acc: 0.584, test acc: 0.583, time cost: 54.5 sec 
epoch: 27, train loss: 1.218, valid acc: 0.557, test acc: 0.564, time cost: 52.2 sec 
epoch: 28, train loss: 1.206, valid acc: 0.556, test acc: 0.552, time cost: 52.3 sec 
epoch: 29, train loss: 1.192, valid acc: 0.541, test acc: 0.548, time cost: 52.2 sec 
epoch: 30, train loss: 1.173, valid acc: 0.541, test acc: 0.545, time cost: 51.8 sec 
epoch: 31, train loss: 1.027, valid acc: 0.553, test acc: 0.552, time cost: 51.3 sec 
epoch: 32, train loss: 0.965, valid acc: 0.543, test acc: 0.545, time cost: 53.9 sec 
epoch: 33, train loss: 0.935, valid acc: 0.534, test acc: 0.539, time cost: 58.0 sec 
epoch: 34, train loss: 0.904, valid acc: 0.534, test acc: 0.537, time cost: 54.5 sec 
epoch: 35, train loss: 0.872, valid acc: 0.528, test acc: 0.532, time cost: 54.7 sec 
epoch: 36, train loss: 0.850, valid acc: 0.524, test acc: 0.530, time cost: 55.2 sec 
epoch: 37, train loss: 0.818, valid acc: 0.521, test acc: 0.526, time cost: 54.1 sec 
epoch: 38, train loss: 0.794, valid acc: 0.531, test acc: 0.531, time cost: 53.4 sec 
epoch: 39, train loss: 0.774, valid acc: 0.511, test acc: 0.521, time cost: 53.6 sec 
epoch: 40, train loss: 0.741, valid acc: 0.525, test acc: 0.526, time cost: 53.8 sec 
epoch: 41, train loss: 0.724, valid acc: 0.513, test acc: 0.520, time cost: 53.4 sec 
epoch: 42, train loss: 0.688, valid acc: 0.517, test acc: 0.523, time cost: 53.9 sec 
epoch: 43, train loss: 0.669, valid acc: 0.524, test acc: 0.524, time cost: 52.6 sec 
epoch: 44, train loss: 0.650, valid acc: 0.514, test acc: 0.509, time cost: 54.3 sec 
epoch: 45, train loss: 0.626, valid acc: 0.505, test acc: 0.507, time cost: 55.4 sec 
epoch: 46, train loss: 0.602, valid acc: 0.502, test acc: 0.504, time cost: 55.1 sec 
epoch: 47, train loss: 0.579, valid acc: 0.509, test acc: 0.513, time cost: 54.3 sec 
epoch: 48, train loss: 0.561, valid acc: 0.514, test acc: 0.511, time cost: 53.9 sec 
epoch: 49, train loss: 0.541, valid acc: 0.508, test acc: 0.508, time cost: 53.1 sec 
epoch: 50, train loss: 0.507, valid acc: 0.507, test acc: 0.509, time cost: 52.9 sec 
epoch: 51, train loss: 0.494, valid acc: 0.507, test acc: 0.507, time cost: 53.0 sec 
epoch: 52, train loss: 0.483, valid acc: 0.513, test acc: 0.520, time cost: 52.7 sec 
epoch: 53, train loss: 0.466, valid acc: 0.504, test acc: 0.500, time cost: 53.5 sec 
epoch: 54, train loss: 0.445, valid acc: 0.505, test acc: 0.508, time cost: 52.7 sec 
epoch: 55, train loss: 0.425, valid acc: 0.502, test acc: 0.502, time cost: 54.2 sec 
epoch: 56, train loss: 0.416, valid acc: 0.520, test acc: 0.521, time cost: 54.3 sec 
epoch: 57, train loss: 0.394, valid acc: 0.505, test acc: 0.512, time cost: 52.4 sec 
epoch: 58, train loss: 0.380, valid acc: 0.505, test acc: 0.509, time cost: 52.8 sec 
epoch: 59, train loss: 0.371, valid acc: 0.504, test acc: 0.508, time cost: 52.0 sec 
epoch: 60, train loss: 0.360, valid acc: 0.512, test acc: 0.518, time cost: 52.4 sec 
epoch: 61, train loss: 0.285, valid acc: 0.512, test acc: 0.518, time cost: 51.6 sec 
epoch: 62, train loss: 0.239, valid acc: 0.510, test acc: 0.514, time cost: 53.1 sec 
epoch: 63, train loss: 0.231, valid acc: 0.511, test acc: 0.511, time cost: 53.5 sec 
epoch: 64, train loss: 0.217, valid acc: 0.510, test acc: 0.513, time cost: 52.8 sec 
epoch: 65, train loss: 0.211, valid acc: 0.516, test acc: 0.518, time cost: 53.0 sec 
epoch: 66, train loss: 0.204, valid acc: 0.509, test acc: 0.515, time cost: 52.2 sec 
