epoch: 1, train loss: 1.877, valid acc: 0.426, test acc: 0.428, time cost: 39.4 sec 
epoch: 2, train loss: 1.626, valid acc: 0.503, test acc: 0.504, time cost: 38.5 sec 
epoch: 3, train loss: 1.537, valid acc: 0.532, test acc: 0.534, time cost: 37.9 sec 
epoch: 4, train loss: 1.497, valid acc: 0.506, test acc: 0.512, time cost: 37.3 sec 
epoch: 5, train loss: 1.465, valid acc: 0.556, test acc: 0.557, time cost: 37.6 sec 
epoch: 6, train loss: 1.440, valid acc: 0.591, test acc: 0.596, time cost: 37.9 sec 
epoch: 7, train loss: 1.418, valid acc: 0.593, test acc: 0.587, time cost: 37.9 sec 
epoch: 8, train loss: 1.406, valid acc: 0.584, test acc: 0.584, time cost: 37.3 sec 
epoch: 9, train loss: 1.384, valid acc: 0.582, test acc: 0.576, time cost: 37.3 sec 
epoch: 10, train loss: 1.375, valid acc: 0.583, test acc: 0.583, time cost: 37.5 sec 
epoch: 11, train loss: 1.367, valid acc: 0.575, test acc: 0.583, time cost: 37.5 sec 
epoch: 12, train loss: 1.352, valid acc: 0.613, test acc: 0.614, time cost: 37.6 sec 
epoch: 13, train loss: 1.346, valid acc: 0.612, test acc: 0.617, time cost: 37.4 sec 
epoch: 14, train loss: 1.336, valid acc: 0.616, test acc: 0.614, time cost: 38.1 sec 
epoch: 15, train loss: 1.326, valid acc: 0.607, test acc: 0.617, time cost: 37.7 sec 
epoch: 16, train loss: 1.320, valid acc: 0.591, test acc: 0.593, time cost: 37.9 sec 
epoch: 17, train loss: 1.310, valid acc: 0.620, test acc: 0.619, time cost: 38.5 sec 
epoch: 18, train loss: 1.302, valid acc: 0.609, test acc: 0.604, time cost: 38.0 sec 
epoch: 19, train loss: 1.295, valid acc: 0.606, test acc: 0.606, time cost: 38.1 sec 
epoch: 20, train loss: 1.287, valid acc: 0.626, test acc: 0.630, time cost: 38.2 sec 
epoch: 21, train loss: 1.282, valid acc: 0.634, test acc: 0.630, time cost: 38.9 sec 
epoch: 22, train loss: 1.275, valid acc: 0.626, test acc: 0.625, time cost: 38.6 sec 
epoch: 23, train loss: 1.270, valid acc: 0.615, test acc: 0.615, time cost: 38.7 sec 
epoch: 24, train loss: 1.261, valid acc: 0.606, test acc: 0.608, time cost: 45.5 sec 
epoch: 25, train loss: 1.257, valid acc: 0.594, test acc: 0.591, time cost: 51.2 sec 
epoch: 26, train loss: 1.248, valid acc: 0.604, test acc: 0.609, time cost: 50.8 sec 
epoch: 27, train loss: 1.243, valid acc: 0.609, test acc: 0.608, time cost: 47.8 sec 
epoch: 28, train loss: 1.231, valid acc: 0.591, test acc: 0.591, time cost: 50.4 sec 
epoch: 29, train loss: 1.232, valid acc: 0.640, test acc: 0.637, time cost: 49.3 sec 
epoch: 30, train loss: 1.220, valid acc: 0.585, test acc: 0.587, time cost: 48.3 sec 
epoch: 31, train loss: 1.116, valid acc: 0.647, test acc: 0.650, time cost: 51.1 sec 
epoch: 32, train loss: 1.073, valid acc: 0.637, test acc: 0.645, time cost: 49.0 sec 
epoch: 33, train loss: 1.051, valid acc: 0.631, test acc: 0.637, time cost: 48.6 sec 
epoch: 34, train loss: 1.030, valid acc: 0.626, test acc: 0.631, time cost: 50.1 sec 
epoch: 35, train loss: 1.016, valid acc: 0.621, test acc: 0.620, time cost: 46.4 sec 
epoch: 36, train loss: 1.000, valid acc: 0.614, test acc: 0.614, time cost: 49.9 sec 
epoch: 37, train loss: 0.982, valid acc: 0.622, test acc: 0.621, time cost: 50.2 sec 
epoch: 38, train loss: 0.966, valid acc: 0.610, test acc: 0.609, time cost: 46.8 sec 
epoch: 39, train loss: 0.951, valid acc: 0.599, test acc: 0.595, time cost: 50.3 sec 
epoch: 40, train loss: 0.932, valid acc: 0.596, test acc: 0.594, time cost: 48.0 sec 
epoch: 41, train loss: 0.912, valid acc: 0.592, test acc: 0.587, time cost: 49.1 sec 
epoch: 42, train loss: 0.893, valid acc: 0.585, test acc: 0.578, time cost: 50.1 sec 
epoch: 43, train loss: 0.879, valid acc: 0.578, test acc: 0.579, time cost: 46.1 sec 
epoch: 44, train loss: 0.856, valid acc: 0.569, test acc: 0.564, time cost: 50.2 sec 
epoch: 45, train loss: 0.840, valid acc: 0.587, test acc: 0.580, time cost: 49.0 sec 
epoch: 46, train loss: 0.820, valid acc: 0.561, test acc: 0.560, time cost: 48.2 sec 
epoch: 47, train loss: 0.796, valid acc: 0.564, test acc: 0.567, time cost: 50.3 sec 
epoch: 48, train loss: 0.771, valid acc: 0.557, test acc: 0.553, time cost: 46.3 sec 
epoch: 49, train loss: 0.762, valid acc: 0.558, test acc: 0.554, time cost: 50.0 sec 
epoch: 50, train loss: 0.730, valid acc: 0.556, test acc: 0.552, time cost: 50.4 sec 
epoch: 51, train loss: 0.586, valid acc: 0.556, test acc: 0.549, time cost: 46.6 sec 
epoch: 52, train loss: 0.526, valid acc: 0.552, test acc: 0.542, time cost: 50.3 sec 
epoch: 53, train loss: 0.500, valid acc: 0.550, test acc: 0.541, time cost: 48.9 sec 
epoch: 54, train loss: 0.477, valid acc: 0.546, test acc: 0.537, time cost: 48.1 sec 
epoch: 55, train loss: 0.460, valid acc: 0.542, test acc: 0.537, time cost: 50.2 sec 
epoch: 56, train loss: 0.443, valid acc: 0.546, test acc: 0.535, time cost: 46.5 sec 
epoch: 57, train loss: 0.430, valid acc: 0.542, test acc: 0.539, time cost: 50.2 sec 
epoch: 58, train loss: 0.414, valid acc: 0.544, test acc: 0.535, time cost: 50.1 sec 
epoch: 59, train loss: 0.401, valid acc: 0.543, test acc: 0.535, time cost: 46.6 sec 
epoch: 60, train loss: 0.390, valid acc: 0.539, test acc: 0.531, time cost: 50.5 sec 
epoch: 61, train loss: 0.379, valid acc: 0.536, test acc: 0.532, time cost: 48.7 sec 
epoch: 62, train loss: 0.359, valid acc: 0.536, test acc: 0.532, time cost: 48.4 sec 
epoch: 63, train loss: 0.352, valid acc: 0.534, test acc: 0.528, time cost: 50.1 sec 
epoch: 64, train loss: 0.341, valid acc: 0.533, test acc: 0.531, time cost: 46.3 sec 
epoch: 65, train loss: 0.337, valid acc: 0.538, test acc: 0.533, time cost: 50.1 sec 
epoch: 66, train loss: 0.320, valid acc: 0.532, test acc: 0.526, time cost: 49.7 sec 
epoch: 67, train loss: 0.308, valid acc: 0.532, test acc: 0.528, time cost: 47.5 sec 
epoch: 68, train loss: 0.296, valid acc: 0.528, test acc: 0.524, time cost: 50.0 sec 
epoch: 69, train loss: 0.285, valid acc: 0.528, test acc: 0.527, time cost: 46.1 sec 
epoch: 70, train loss: 0.280, valid acc: 0.530, test acc: 0.527, time cost: 50.2 sec 
epoch: 71, train loss: 0.272, valid acc: 0.528, test acc: 0.524, time cost: 50.3 sec 
epoch: 72, train loss: 0.261, valid acc: 0.527, test acc: 0.524, time cost: 47.0 sec 
epoch: 73, train loss: 0.245, valid acc: 0.532, test acc: 0.526, time cost: 50.0 sec 
epoch: 74, train loss: 0.242, valid acc: 0.528, test acc: 0.526, time cost: 47.6 sec 
epoch: 75, train loss: 0.229, valid acc: 0.531, test acc: 0.529, time cost: 49.1 sec 
epoch: 76, train loss: 0.221, valid acc: 0.529, test acc: 0.527, time cost: 50.4 sec 
epoch: 77, train loss: 0.216, valid acc: 0.526, test acc: 0.522, time cost: 46.5 sec 
epoch: 78, train loss: 0.205, valid acc: 0.527, test acc: 0.520, time cost: 50.1 sec 
