epoch: 1, train loss: 2.512, valid acc: 0.103, test acc: 0.104, time cost: 154.9 sec 
epoch: 2, train loss: 2.327, valid acc: 0.100, test acc: 0.100, time cost: 179.9 sec 
epoch: 3, train loss: 2.322, valid acc: 0.094, test acc: 0.100, time cost: 166.4 sec 
epoch: 4, train loss: 2.319, valid acc: 0.094, test acc: 0.100, time cost: 175.0 sec 
epoch: 5, train loss: 2.314, valid acc: 0.116, test acc: 0.123, time cost: 178.1 sec 
epoch: 6, train loss: 2.314, valid acc: 0.108, test acc: 0.110, time cost: 178.3 sec 
epoch: 7, train loss: 2.313, valid acc: 0.119, test acc: 0.123, time cost: 178.6 sec 
epoch: 8, train loss: 2.311, valid acc: 0.118, test acc: 0.121, time cost: 170.3 sec 
epoch: 9, train loss: 2.307, valid acc: 0.103, test acc: 0.108, time cost: 172.4 sec 
epoch: 10, train loss: 2.307, valid acc: 0.102, test acc: 0.107, time cost: 178.1 sec 
epoch: 11, train loss: 2.298, valid acc: 0.129, test acc: 0.130, time cost: 179.4 sec 
epoch: 12, train loss: 2.296, valid acc: 0.133, test acc: 0.131, time cost: 178.7 sec 
epoch: 13, train loss: 2.295, valid acc: 0.118, test acc: 0.123, time cost: 174.4 sec 
epoch: 14, train loss: 2.294, valid acc: 0.116, test acc: 0.123, time cost: 166.8 sec 
epoch: 15, train loss: 2.293, valid acc: 0.122, test acc: 0.125, time cost: 174.3 sec 
epoch: 16, train loss: 2.290, valid acc: 0.141, test acc: 0.141, time cost: 173.8 sec 
epoch: 17, train loss: 2.289, valid acc: 0.122, test acc: 0.126, time cost: 173.4 sec 
epoch: 18, train loss: 2.286, valid acc: 0.117, test acc: 0.118, time cost: 166.7 sec 
epoch: 19, train loss: 2.286, valid acc: 0.115, test acc: 0.117, time cost: 167.3 sec 
epoch: 20, train loss: 2.284, valid acc: 0.116, test acc: 0.115, time cost: 175.2 sec 
epoch: 21, train loss: 2.270, valid acc: 0.154, test acc: 0.153, time cost: 179.1 sec 
epoch: 22, train loss: 2.267, valid acc: 0.140, test acc: 0.144, time cost: 179.1 sec 
