epoch: 1, train loss: 4.379, valid acc: 0.282, test acc: 0.284, time cost: 98.2 sec 
epoch: 2, train loss: 4.194, valid acc: 0.393, test acc: 0.399, time cost: 97.9 sec 
epoch: 3, train loss: 4.051, valid acc: 0.459, test acc: 0.463, time cost: 98.2 sec 
epoch: 4, train loss: 3.928, valid acc: 0.547, test acc: 0.538, time cost: 97.8 sec 
epoch: 5, train loss: 3.831, valid acc: 0.533, test acc: 0.526, time cost: 98.2 sec 
epoch: 6, train loss: 3.729, valid acc: 0.623, test acc: 0.614, time cost: 98.3 sec 
epoch: 7, train loss: 3.632, valid acc: 0.618, test acc: 0.608, time cost: 97.9 sec 
epoch: 8, train loss: 3.581, valid acc: 0.624, test acc: 0.623, time cost: 97.9 sec 
epoch: 9, train loss: 3.543, valid acc: 0.691, test acc: 0.682, time cost: 97.9 sec 
epoch: 10, train loss: 3.472, valid acc: 0.729, test acc: 0.717, time cost: 98.1 sec 
epoch: 11, train loss: 3.421, valid acc: 0.723, test acc: 0.731, time cost: 98.1 sec 
epoch: 12, train loss: 3.380, valid acc: 0.746, test acc: 0.744, time cost: 97.9 sec 
epoch: 13, train loss: 3.357, valid acc: 0.757, test acc: 0.750, time cost: 98.3 sec 
epoch: 14, train loss: 3.311, valid acc: 0.748, test acc: 0.735, time cost: 98.0 sec 
epoch: 15, train loss: 3.302, valid acc: 0.781, test acc: 0.780, time cost: 98.1 sec 
epoch: 16, train loss: 3.282, valid acc: 0.786, test acc: 0.779, time cost: 98.4 sec 
epoch: 17, train loss: 3.278, valid acc: 0.807, test acc: 0.799, time cost: 98.0 sec 
epoch: 18, train loss: 3.252, valid acc: 0.800, test acc: 0.798, time cost: 98.1 sec 
epoch: 19, train loss: 3.222, valid acc: 0.778, test acc: 0.767, time cost: 98.0 sec 
epoch: 20, train loss: 3.219, valid acc: 0.797, test acc: 0.794, time cost: 98.0 sec 
epoch: 21, train loss: 3.216, valid acc: 0.758, test acc: 0.750, time cost: 97.9 sec 
epoch: 22, train loss: 3.205, valid acc: 0.798, test acc: 0.799, time cost: 97.8 sec 
epoch: 23, train loss: 3.198, valid acc: 0.803, test acc: 0.798, time cost: 98.0 sec 
epoch: 24, train loss: 3.173, valid acc: 0.809, test acc: 0.804, time cost: 98.0 sec 
epoch: 25, train loss: 3.151, valid acc: 0.799, test acc: 0.795, time cost: 97.9 sec 
epoch: 26, train loss: 3.160, valid acc: 0.820, test acc: 0.821, time cost: 97.9 sec 
epoch: 27, train loss: 3.137, valid acc: 0.796, test acc: 0.798, time cost: 97.8 sec 
epoch: 28, train loss: 3.165, valid acc: 0.802, test acc: 0.796, time cost: 98.0 sec 
epoch: 29, train loss: 3.124, valid acc: 0.828, test acc: 0.823, time cost: 97.9 sec 
epoch: 30, train loss: 2.984, valid acc: 0.874, test acc: 0.871, time cost: 98.0 sec 
epoch: 31, train loss: 2.943, valid acc: 0.882, test acc: 0.879, time cost: 98.0 sec 
epoch: 32, train loss: 2.890, valid acc: 0.884, test acc: 0.883, time cost: 98.0 sec 
epoch: 33, train loss: 2.873, valid acc: 0.885, test acc: 0.881, time cost: 98.1 sec 
epoch: 34, train loss: 2.863, valid acc: 0.884, test acc: 0.879, time cost: 98.0 sec 
epoch: 35, train loss: 2.846, valid acc: 0.886, test acc: 0.883, time cost: 98.0 sec 
epoch: 36, train loss: 2.842, valid acc: 0.887, test acc: 0.883, time cost: 97.9 sec 
epoch: 37, train loss: 2.815, valid acc: 0.885, test acc: 0.883, time cost: 98.2 sec 
epoch: 38, train loss: 2.808, valid acc: 0.886, test acc: 0.883, time cost: 98.1 sec 
epoch: 39, train loss: 2.814, valid acc: 0.881, test acc: 0.878, time cost: 97.9 sec 
epoch: 40, train loss: 2.791, valid acc: 0.878, test acc: 0.885, time cost: 97.9 sec 
epoch: 41, train loss: 2.788, valid acc: 0.883, test acc: 0.880, time cost: 97.9 sec 
epoch: 42, train loss: 2.784, valid acc: 0.881, test acc: 0.880, time cost: 98.0 sec 
epoch: 43, train loss: 2.762, valid acc: 0.881, test acc: 0.879, time cost: 97.9 sec 
epoch: 44, train loss: 2.740, valid acc: 0.880, test acc: 0.876, time cost: 97.9 sec 
