epoch: 1, train loss: 2.261, valid acc: 0.254, test acc: 0.263, time cost: 54.3 sec 
epoch: 2, train loss: 2.208, valid acc: 0.351, test acc: 0.349, time cost: 54.4 sec 
epoch: 3, train loss: 2.177, valid acc: 0.366, test acc: 0.367, time cost: 54.0 sec 
epoch: 4, train loss: 2.154, valid acc: 0.391, test acc: 0.382, time cost: 53.5 sec 
epoch: 5, train loss: 2.122, valid acc: 0.405, test acc: 0.409, time cost: 53.5 sec 
epoch: 6, train loss: 2.099, valid acc: 0.515, test acc: 0.501, time cost: 53.7 sec 
epoch: 7, train loss: 2.077, valid acc: 0.484, test acc: 0.482, time cost: 54.8 sec 
epoch: 8, train loss: 2.056, valid acc: 0.549, test acc: 0.547, time cost: 54.7 sec 
epoch: 9, train loss: 2.038, valid acc: 0.564, test acc: 0.566, time cost: 53.6 sec 
epoch: 10, train loss: 2.019, valid acc: 0.584, test acc: 0.577, time cost: 54.2 sec 
epoch: 11, train loss: 2.007, valid acc: 0.626, test acc: 0.621, time cost: 53.9 sec 
epoch: 12, train loss: 1.992, valid acc: 0.647, test acc: 0.644, time cost: 57.8 sec 
epoch: 13, train loss: 1.976, valid acc: 0.646, test acc: 0.635, time cost: 53.9 sec 
epoch: 14, train loss: 1.965, valid acc: 0.687, test acc: 0.683, time cost: 54.0 sec 
epoch: 15, train loss: 1.953, valid acc: 0.631, test acc: 0.636, time cost: 54.3 sec 
epoch: 16, train loss: 1.945, valid acc: 0.649, test acc: 0.639, time cost: 53.0 sec 
epoch: 17, train loss: 1.935, valid acc: 0.717, test acc: 0.719, time cost: 54.0 sec 
epoch: 18, train loss: 1.929, valid acc: 0.684, test acc: 0.692, time cost: 53.8 sec 
epoch: 19, train loss: 1.920, valid acc: 0.667, test acc: 0.657, time cost: 53.4 sec 
epoch: 20, train loss: 1.914, valid acc: 0.710, test acc: 0.701, time cost: 53.2 sec 
epoch: 21, train loss: 1.907, valid acc: 0.692, test acc: 0.688, time cost: 53.4 sec 
epoch: 22, train loss: 1.903, valid acc: 0.702, test acc: 0.696, time cost: 53.3 sec 
epoch: 23, train loss: 1.896, valid acc: 0.732, test acc: 0.730, time cost: 56.5 sec 
epoch: 24, train loss: 1.891, valid acc: 0.740, test acc: 0.732, time cost: 56.4 sec 
epoch: 25, train loss: 1.886, valid acc: 0.736, test acc: 0.725, time cost: 54.5 sec 
epoch: 26, train loss: 1.879, valid acc: 0.682, test acc: 0.683, time cost: 52.8 sec 
epoch: 27, train loss: 1.877, valid acc: 0.765, test acc: 0.757, time cost: 53.3 sec 
epoch: 28, train loss: 1.875, valid acc: 0.749, test acc: 0.744, time cost: 53.9 sec 
epoch: 29, train loss: 1.870, valid acc: 0.739, test acc: 0.731, time cost: 53.3 sec 
epoch: 30, train loss: 1.797, valid acc: 0.832, test acc: 0.835, time cost: 54.4 sec 
epoch: 31, train loss: 1.765, valid acc: 0.832, test acc: 0.834, time cost: 54.3 sec 
epoch: 32, train loss: 1.754, valid acc: 0.830, test acc: 0.834, time cost: 53.9 sec 
epoch: 33, train loss: 1.741, valid acc: 0.824, test acc: 0.826, time cost: 54.1 sec 
epoch: 34, train loss: 1.730, valid acc: 0.825, test acc: 0.827, time cost: 53.7 sec 
epoch: 35, train loss: 1.719, valid acc: 0.823, test acc: 0.820, time cost: 53.6 sec 
epoch: 36, train loss: 1.706, valid acc: 0.817, test acc: 0.818, time cost: 53.2 sec 
epoch: 37, train loss: 1.696, valid acc: 0.814, test acc: 0.813, time cost: 53.6 sec 
epoch: 38, train loss: 1.681, valid acc: 0.796, test acc: 0.798, time cost: 54.6 sec 
epoch: 39, train loss: 1.672, valid acc: 0.803, test acc: 0.803, time cost: 53.3 sec 
epoch: 40, train loss: 1.659, valid acc: 0.793, test acc: 0.791, time cost: 53.6 sec 
epoch: 41, train loss: 1.646, valid acc: 0.770, test acc: 0.770, time cost: 53.3 sec 
epoch: 42, train loss: 1.634, valid acc: 0.785, test acc: 0.783, time cost: 53.8 sec 
epoch: 43, train loss: 1.619, valid acc: 0.772, test acc: 0.771, time cost: 54.4 sec 
epoch: 44, train loss: 1.605, valid acc: 0.752, test acc: 0.758, time cost: 54.0 sec 
epoch: 45, train loss: 1.587, valid acc: 0.733, test acc: 0.724, time cost: 55.6 sec 
epoch: 46, train loss: 1.575, valid acc: 0.744, test acc: 0.742, time cost: 54.3 sec 
epoch: 47, train loss: 1.561, valid acc: 0.734, test acc: 0.727, time cost: 53.4 sec 
epoch: 48, train loss: 1.546, valid acc: 0.726, test acc: 0.722, time cost: 53.8 sec 
epoch: 49, train loss: 1.526, valid acc: 0.726, test acc: 0.719, time cost: 52.9 sec 
epoch: 50, train loss: 1.394, valid acc: 0.722, test acc: 0.716, time cost: 53.7 sec 
epoch: 51, train loss: 1.332, valid acc: 0.717, test acc: 0.714, time cost: 53.7 sec 
epoch: 52, train loss: 1.291, valid acc: 0.702, test acc: 0.693, time cost: 54.1 sec 
epoch: 53, train loss: 1.266, valid acc: 0.691, test acc: 0.690, time cost: 53.5 sec 
epoch: 54, train loss: 1.246, valid acc: 0.681, test acc: 0.670, time cost: 53.5 sec 
epoch: 55, train loss: 1.219, valid acc: 0.664, test acc: 0.667, time cost: 56.5 sec 
epoch: 56, train loss: 1.201, valid acc: 0.662, test acc: 0.657, time cost: 53.1 sec 
epoch: 57, train loss: 1.180, valid acc: 0.660, test acc: 0.652, time cost: 54.2 sec 
epoch: 58, train loss: 1.160, valid acc: 0.644, test acc: 0.640, time cost: 55.4 sec 
epoch: 59, train loss: 1.140, valid acc: 0.639, test acc: 0.636, time cost: 54.9 sec 
epoch: 60, train loss: 1.124, valid acc: 0.626, test acc: 0.626, time cost: 55.2 sec 
epoch: 61, train loss: 1.101, valid acc: 0.630, test acc: 0.626, time cost: 53.0 sec 
epoch: 62, train loss: 1.079, valid acc: 0.616, test acc: 0.614, time cost: 55.9 sec 
epoch: 63, train loss: 1.057, valid acc: 0.611, test acc: 0.609, time cost: 54.6 sec 
epoch: 64, train loss: 1.034, valid acc: 0.590, test acc: 0.589, time cost: 53.7 sec 
epoch: 65, train loss: 1.018, valid acc: 0.588, test acc: 0.577, time cost: 54.7 sec 
epoch: 66, train loss: 0.993, valid acc: 0.577, test acc: 0.565, time cost: 52.9 sec 
epoch: 67, train loss: 0.972, valid acc: 0.602, test acc: 0.593, time cost: 55.2 sec 
epoch: 68, train loss: 0.957, valid acc: 0.584, test acc: 0.586, time cost: 54.7 sec 
epoch: 69, train loss: 0.939, valid acc: 0.571, test acc: 0.564, time cost: 55.0 sec 
epoch: 70, train loss: 0.918, valid acc: 0.563, test acc: 0.553, time cost: 55.8 sec 
epoch: 71, train loss: 0.891, valid acc: 0.559, test acc: 0.548, time cost: 53.2 sec 
epoch: 72, train loss: 0.884, valid acc: 0.554, test acc: 0.554, time cost: 55.6 sec 
epoch: 73, train loss: 0.856, valid acc: 0.545, test acc: 0.531, time cost: 54.5 sec 
epoch: 74, train loss: 0.833, valid acc: 0.558, test acc: 0.546, time cost: 56.0 sec 
epoch: 75, train loss: 0.819, valid acc: 0.561, test acc: 0.551, time cost: 54.8 sec 
epoch: 76, train loss: 0.797, valid acc: 0.532, test acc: 0.514, time cost: 54.0 sec 
epoch: 77, train loss: 0.774, valid acc: 0.508, test acc: 0.496, time cost: 56.2 sec 
epoch: 78, train loss: 0.762, valid acc: 0.544, test acc: 0.533, time cost: 55.0 sec 
epoch: 79, train loss: 0.747, valid acc: 0.554, test acc: 0.543, time cost: 53.3 sec 
epoch: 80, train loss: 0.635, valid acc: 0.544, test acc: 0.534, time cost: 56.2 sec 
epoch: 81, train loss: 0.600, valid acc: 0.540, test acc: 0.531, time cost: 54.3 sec 
epoch: 82, train loss: 0.573, valid acc: 0.526, test acc: 0.518, time cost: 54.4 sec 
epoch: 83, train loss: 0.552, valid acc: 0.530, test acc: 0.526, time cost: 52.1 sec 
epoch: 84, train loss: 0.546, valid acc: 0.523, test acc: 0.514, time cost: 54.7 sec 
epoch: 85, train loss: 0.537, valid acc: 0.522, test acc: 0.510, time cost: 56.6 sec 
epoch: 86, train loss: 0.530, valid acc: 0.531, test acc: 0.521, time cost: 55.9 sec 
epoch: 87, train loss: 0.520, valid acc: 0.522, test acc: 0.513, time cost: 54.1 sec 
epoch: 88, train loss: 0.516, valid acc: 0.522, test acc: 0.514, time cost: 53.1 sec 
epoch: 89, train loss: 0.506, valid acc: 0.511, test acc: 0.506, time cost: 54.5 sec 
epoch: 90, train loss: 0.495, valid acc: 0.524, test acc: 0.516, time cost: 54.9 sec 
epoch: 91, train loss: 0.494, valid acc: 0.518, test acc: 0.512, time cost: 55.9 sec 
epoch: 92, train loss: 0.489, valid acc: 0.516, test acc: 0.510, time cost: 55.1 sec 
epoch: 93, train loss: 0.486, valid acc: 0.515, test acc: 0.509, time cost: 53.3 sec 
epoch: 94, train loss: 0.478, valid acc: 0.514, test acc: 0.504, time cost: 54.1 sec 
epoch: 95, train loss: 0.468, valid acc: 0.517, test acc: 0.505, time cost: 56.2 sec 
epoch: 96, train loss: 0.463, valid acc: 0.510, test acc: 0.500, time cost: 55.3 sec 
epoch: 97, train loss: 0.453, valid acc: 0.509, test acc: 0.496, time cost: 54.6 sec 
epoch: 98, train loss: 0.451, valid acc: 0.508, test acc: 0.499, time cost: 53.7 sec 
epoch: 99, train loss: 0.445, valid acc: 0.516, test acc: 0.509, time cost: 56.3 sec 
epoch: 100, train loss: 0.437, valid acc: 0.507, test acc: 0.498, time cost: 54.3 sec 
