training, validation, test
[0.81195078125],[0.6166],0.6129
[0.87688125],[0.6074],0.5985
[0.887975],[0.6163],0.6153
[0.89396484375],[0.633],0.6223
[0.8980265625],[0.6326],0.626
[0.896725390625],[0.6064],0.6053
[0.899886328125],[0.63],0.6239
[0.901451171875],[0.6327],0.6315
[0.902217578125],[0.6253],0.616
[0.903400390625],[0.6289],0.6257
[0.900774609375],[0.6241],0.6161
[0.902441015625],[0.6409],0.6344
[0.90345703125],[0.6304],0.618
[0.90394453125],[0.636],0.6248
[0.9047984375],[0.6488],0.6447
[0.902278515625],[0.6364],0.6311
[0.9037296875],[0.6157],0.603
[0.9045046875],[0.6237],0.6135
[0.905359375],[0.6336],0.6279
[0.9057828125],[0.6442],0.6343
[0.903205859375],[0.6307],0.6224
[0.90461640625],[0.6211],0.6163
[0.90530625],[0.6306],0.6217
[0.906087890625],[0.6355],0.6311
[0.906547265625],[0.6076],0.6042
[0.903992578125],[0.6395],0.6325
[0.905201953125],[0.6292],0.6245
[0.9059484375],[0.6301],0.6226
[0.9067734375],[0.6442],0.6405
[0.906740625],[0.6371],0.6336
[0.904339453125],[0.6352],0.6283
[0.90583671875],[0.6261],0.6224
[0.906322265625],[0.6253],0.6231
[0.907042578125],[0.6337],0.6256
[0.907286328125],[0.6404],0.6286
[0.904818359375],[0.6334],0.6292
[0.906434375],[0.6451],0.6383
[0.906853515625],[0.6364],0.6331
[0.90735625],[0.6346],0.6327
[0.90764296875],[0.6288],0.621
[0.905126953125],[0.6189],0.6091
[0.906427734375],[0.6415],0.637
[0.907315234375],[0.6378],0.6277
[0.90783359375],[0.6437],0.6374
[0.907990625],[0.6388],0.6346
[0.905335546875],[0.6252],0.6195
[0.906745703125],[0.65],0.6416
[0.9076140625],[0.6345],0.6293
[0.907690234375],[0.6293],0.6211
[0.90804296875],[0.63],0.6189
[0.90555],[0.617],0.6122
[0.906994921875],[0.6229],0.6136
[0.907595703125],[0.6149],0.6091
[0.908144921875],[0.6408],0.6365
[0.90834921875],[0.6448],0.6362
[0.905643359375],[0.6172],0.611
[0.906958203125],[0.6159],0.6085
[0.907693359375],[0.6492],0.6451
[0.908445703125],[0.6236],0.6142
[0.908818359375],[0.6048],0.5992
[0.906104296875],[0.6003],0.5936
[0.9074484375],[0.6254],0.6198
[0.9079390625],[0.6443],0.638
[0.908463671875],[0.6341],0.6238
[0.90890390625],[0.6463],0.641
[0.906154296875],[0.6364],0.6326
[0.9076765625],[0.634],0.6261
[0.90800546875],[0.6178],0.6151
[0.908478125],[0.6208],0.6156
[0.909048828125],[0.6089],0.6038
[0.906351171875],[0.642],0.6337
[0.907772265625],[0.6297],0.6222
[0.9080328125],[0.6328],0.6273
[0.9086578125],[0.6146],0.6081
[0.909412890625],[0.6429],0.6353
[0.906403125],[0.6142],0.6131
[0.90747109375],[0.6194],0.6122
[0.908126953125],[0.6242],0.6174
[0.908619921875],[0.6364],0.6283
[0.90912109375],[0.6248],0.6214
[0.906939453125],[0.6048],0.6001
[0.908260546875],[0.6146],0.6031
[0.908524609375],[0.6318],0.6234
[0.908887109375],[0.6309],0.6199
[0.90948984375],[0.6292],0.6205
[0.90659609375],[0.627],0.6205
[0.907886328125],[0.6147],0.6085
[0.908499609375],[0.6183],0.6085
[0.909278125],[0.6126],0.5999
[0.909670703125],[0.6205],0.611
[0.906670703125],[0.6186],0.6125
